DLiP-ID,T001CA
DLiP-Mol-ID,16939
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N4O3/c30-23(10-4-2-8-20-12-11-17-7-5-13-26-25(17)28-20)29-22(15-24(31)32)19-14-18-6-1-3-9-21(18)27-16-19/h1,3,6,9,11-12,14,16,22H,2,4-5,7-8,10,13,15H2,(H,26,28)(H,29,30)(H,31,32)/t22-/m0/s1"
Standard Inchi Key(RDKit),DSVRSYVZAMHQET-QFIPXVFZSA-N
Canonical SMILES(RDKit),O=C(O)C[C@H](NC(=O)CCCCc1ccc2c(n1)NCCC2)c1cnc2ccccc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),432.524
MW Monoisotopic(RDKit),432.216140756
MolLogP(RDKit),4.0329
XLogP(SDF),
XLogP(CDK),2.995
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.21
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.441110212668585
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,20972112.426844083
qed,0.44111021266858536
Chi0,22.33828804643758
Chi1,15.580520035918413
TPSA,104.21000000000001
Chi0n,18.01114403962662
Chi0v,18.01114403962662
Chi1n,11.168299159327823
Chi1v,11.168299159327823
Chi2n,8.227070908843743
Chi2v,8.227070908843743
Chi3n,5.766532702750609
Chi3v,5.766532702750609
Chi4n,4.071688491826951
Chi4v,4.071688491826951
MolMR,123.48220000000003
MolWt,432.52400000000017
fr_SH,0
Kappa1,21.74072199747481
