DLiP-ID,C003DZ
DLiP-Mol-ID,33893
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14O6/c17-10-2-1-8-13-9-4-12(19)11(18)3-7(9)5-16(13,21)6-22-15(8)14(10)20/h1-4,13,17-21H,5-6H2/t13-,16+/m0/s1"
Standard Inchi Key(RDKit),WZUVPPKBWHMQCE-XJKSGUPXSA-N
Canonical SMILES(RDKit),Oc1cc2c(cc1O)[C@@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2
SMILES(SDF),
MW(SDF),
MW(RDKit),302.282
MW Monoisotopic(RDKit),302.079038168
MolLogP(RDKit),1.3205
XLogP(SDF),
XLogP(CDK),1.407
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),110.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.469461336192969
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,128968.53052773217
qed,0.46946133619296915
Chi0,15.64589989101247
Chi1,10.404502649584101
TPSA,110.38000000000001
Chi0n,11.44528117628488
Chi0v,11.44528117628488
Chi1n,6.852902985043112
Chi1v,6.852902985043112
Chi2n,5.89342268753487
Chi2v,5.89342268753487
Chi3n,4.499416521842779
Chi3v,4.499416521842779
Chi4n,3.5232564253155676
Chi4v,3.5232564253155676
MolMR,75.53500000000001
MolWt,302.2820000000001
fr_SH,0
Kappa1,13.090051020408161
Kappa2,3.9826589264777366
Kappa3,1.5248159105422978
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,799.7084198980605
MolLogP,1.3204999999999993
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9681617222066574
SMR_VSA1,30.269499928003576
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,17.93977848007109
SMR_VSA6,6.606881964512918
SMR_VSA7,40.95582274893743
SMR_VSA8,0.0
SMR_VSA9,28.747559166419524
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,4
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,125.02131746657594
NHOHCount,5
PEOE_VSA1,30.269499928003576
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,29.32600418877882
PEOE_VSA8,17.9021791607844
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,4
ExactMolWt,302.079038168
NumHDonors,5
PEOE_VSA10,12.207932775496605
PEOE_VSA11,22.99804733313562
PEOE_VSA12,5.749511833283905
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.736862953800049
SlogP_VSA2,37.740569749700136
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,22.60826052125238
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.518956857145081
EState_VSA2,41.775262753858456
EState_VSA3,16.690354475090988
EState_VSA4,0.0
EState_VSA5,18.19910120538483
