DLiP-ID,T007VA
DLiP-Mol-ID,26186
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H30N6O3S/c1-14-12-19(29(27-14)16-8-5-4-6-9-16)26-22(31)18-13-33-20-11-7-10-17(23(32)28(18)20)25-21(30)15(2)24-3/h4-6,8-9,12,15,17-18,20,24H,7,10-11,13H2,1-3H3,(H,25,30)(H,26,31)/t15-,17?,18-,20+/m0/s1"
Standard Inchi Key(RDKit),YYBUDMKKCZIZQP-TZLDQEOQSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)NC1CCC[C@H]2SC[C@@H](C(=O)Nc3cc(C)nn3-c3ccccc3)N2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),470.599
MW Monoisotopic(RDKit),470.21000982
MolLogP(RDKit),1.66592
XLogP(SDF),
XLogP(CDK),2.327
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),108.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.592757579879017
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,33558801.172097035
qed,0.592757579879017
Chi0,23.53480494807372
Chi1,15.884249150759294
TPSA,108.36000000000001
Chi0n,19.07656376499778
Chi0v,19.893060345925505
Chi1n,11.231079486448229
Chi1v,12.279834276428884
Chi2n,8.459292482869797
Chi2v,9.670110993547686
Chi3n,6.117967514821371
Chi3v,7.473756568237897
Chi4n,4.209260645906555
Chi4v,5.670428456263247
MolMR,128.1141
MolWt,470.59900000000016
fr_SH,0
Kappa1,23.312957351405583
Kappa2,9.963290071158298
Kappa3,4.910418755559667
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,3
fr_NH2,0
