DLiP-ID,C002VR
DLiP-Mol-ID,33237
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H20FN5O2/c25-17-8-2-1-6-15(17)11-12-30-22(26)20(24(31)27-14-16-7-5-13-32-16)21-23(30)29-19-10-4-3-9-18(19)28-21/h1-10,13H,11-12,14,26H2,(H,27,31)"
Standard Inchi Key(RDKit),ZPZAKSKIRBLEKV-UHFFFAOYSA-N
Canonical SMILES(RDKit),Nc1c(C(=O)NCc2ccco2)c2nc3ccccc3nc2n1CCc1ccccc1F
SMILES(SDF),
MW(SDF),
MW(RDKit),429.455
MW Monoisotopic(RDKit),429.1601031
MolLogP(RDKit),4.0715
XLogP(SDF),
XLogP(CDK),4.099
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),98.97
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.423917970143408
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,36930969.67003287
qed,0.42391797014340754
Chi0,22.07877502244374
Chi1,15.614193540729632
TPSA,98.97
Chi0n,17.085625414271984
Chi0v,17.085625414271984
Chi1n,10.200178985896072
Chi1v,10.200178985896072
Chi2n,7.39986368174408
Chi2v,7.39986368174408
Chi3n,5.384477836589197
Chi3v,5.384477836589197
Chi4n,3.769556399119601
Chi4v,3.769556399119601
MolMR,119.42860000000003
MolWt,429.4550000000002
fr_SH,0
Kappa1,19.745136663897792
Kappa2,8.144838921762
Kappa3,3.556068700921511
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
