DLiP-ID,J000DB
DLiP-Mol-ID,25080
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H12N2/c1-2-5-10(6-3-1)11-9-14-8-4-7-12(14)13-11/h1-3,5-6,9H,4,7-8H2"
Standard Inchi Key(RDKit),PPYLPCSLYXBQRM-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(-c2cn3c(n2)CCC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),184.242
MW Monoisotopic(RDKit),184.100048384
MolLogP(RDKit),2.4963
XLogP(SDF),
XLogP(CDK),2.744
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),17.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.665451383676802
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,4244.963988228014
qed,0.6654513836768017
Chi0,9.38046888862398
Chi1,6.932652990377571
TPSA,17.82
Chi0n,7.979849149697316
Chi0v,7.979849149697316
Chi1n,5.048159176724982
Chi1v,5.048159176724982
Chi2n,3.7053441266561316
Chi2v,3.7053441266561316
Chi3n,2.728121524611192
Chi3v,2.728121524611192
Chi4n,2.00288041135816
Chi4v,2.00288041135816
MolMR,55.98400000000003
MolWt,184.24199999999996
fr_SH,0
Kappa1,7.798856462411555
Kappa2,2.9790522057697824
Kappa3,1.1475033828637122
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,421.10021837205187
MolLogP,2.4963000000000006
NOCount,2
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.057763077267406
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,19.386399651764595
SMR_VSA6,0.0
SMR_VSA7,42.353083411921055
SMR_VSA8,0.0
