DLiP-ID,P000AR
DLiP-Mol-ID,24705
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H25FN6O2/c1-14(30)28-7-5-21-18(12-28)22(26-29(21)17-6-8-31-13-17)25-20-4-3-15(9-19(20)23)16-10-24-27(2)11-16/h3-4,9-11,17H,5-8,12-13H2,1-2H3,(H,25,26)/t17-/m0/s1"
Standard Inchi Key(RDKit),NKOJNOBJGYTLLZ-KRWDZBQOSA-N
Canonical SMILES(RDKit),CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@H]2CCOC2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),424.48
MW Monoisotopic(RDKit),424.20230226
MolLogP(RDKit),3.0323
XLogP(SDF),
XLogP(CDK),2.35
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),77.21
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.696745855924045
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,20653186.567076188
qed,0.6967458559240449
Chi0,21.53480494807372
Chi1,14.991203638441375
TPSA,77.21000000000001
Chi0n,17.637271333693782
Chi0v,17.637271333693782
Chi1n,10.484530343967709
Chi1v,10.484530343967709
Chi2n,8.148715698236122
Chi2v,8.148715698236122
Chi3n,6.043192239814583
