DLiP-ID,J100F1
DLiP-Mol-ID,37243
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H14ClN3O2/c1-20-15-7-4-11(8-14(15)18-19-20)13(9-16(21)22)10-2-5-12(17)6-3-10/h2-8,13H,9H2,1H3,(H,21,22)"
Standard Inchi Key(RDKit),LCHKWRPFWJXZAW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cn1nnc2cc(C(CC(=O)O)c3ccc(Cl)cc3)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),315.76
MW Monoisotopic(RDKit),315.077454368
MolLogP(RDKit),3.2283
XLogP(SDF),
XLogP(CDK),2.712
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),68.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.802297090493451
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KEAP1/NRF2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,129962.04695060405
qed,0.8022970904934511
Chi0,15.689869965382487
Chi1,10.541713895658194
TPSA,68.01
Chi0n,11.900976080176479
Chi0v,12.656905026194934
Chi1n,6.809693397491706
Chi1v,7.187657870500934
Chi2n,5.163201009358545
Chi2v,5.59963678983053
