DLiP-ID,C001CX
DLiP-Mol-ID,32176
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H11ClN4/c9-7-5-11-6-8(12-7)13-3-1-10-2-4-13/h5-6,10H,1-4H2"
Standard Inchi Key(RDKit),CJAWPFJGFFNXQI-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1cncc(N2CCNCC2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),198.657
MW Monoisotopic(RDKit),198.067224032
MolLogP(RDKit),0.5396
XLogP(SDF),
XLogP(CDK),0.69
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),41.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.715439624467461
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1420.6550069818122
qed,0.7154396244674613
Chi0,9.096011838247808
Chi1,6.360173345306138
TPSA,41.050000000000004
Chi0n,7.202732922634544
Chi0v,7.9586618686529995
Chi1n,4.293112991658723
Chi1v,4.67107746466795
Chi2n,2.937044351600501
Chi2v,3.324293092782196
Chi3n,2.033418734696741
Chi3v,2.2155241674644457
Chi4n,1.3789000184453868
Chi4v,1.5218350863756371
MolMR,52.12470000000002
MolWt,198.65699999999998
fr_SH,0
Kappa1,8.716089425041865
Kappa2,3.8922374691117567
Kappa3,2.0779625933614927
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,285.22744510223606
MolLogP,0.5395999999999999
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.138622688761612
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,15.284745645900749
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,31.078935354500782
SMR_VSA7,17.546796960118947
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
