DLiP-ID,T002FZ
DLiP-Mol-ID,18678
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H15NO4/c1-22-13-9-8-12(10-14(13)23-2)16-15(17(20)19-18(16)21)11-6-4-3-5-7-11/h3-10H,1-2H3,(H,19,20,21)"
Standard Inchi Key(RDKit),IDOQJBCQIOKYHU-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C2=C(c3ccccc3)C(=O)NC2=O)cc1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),309.321
MW Monoisotopic(RDKit),309.10010796
MolLogP(RDKit),2.271
XLogP(SDF),
XLogP(CDK),2.602
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),64.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.880044341518482
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,237926.80464454571
qed,0.8800443415184819
Chi0,16.396976746569035
Chi1,11.15139700539098
TPSA,64.63
Chi0n,12.751795315372462
Chi0v,12.751795315372462
Chi1n,7.031710636090998
Chi1v,7.031710636090998
Chi2n,4.9690362268266455
Chi2v,4.9690362268266455
Chi3n,3.6658659835499017
Chi3v,3.6658659835499017
Chi4n,2.602589584425853
Chi4v,2.602589584425853
MolMR,85.95170000000003
MolWt,309.3210000000001
fr_SH,0
Kappa1,14.84056715861261
Kappa2,5.963090181594338
Kappa3,2.5687278284305997
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,809.0262277710755
MolLogP,2.271
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2017076562452016
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,14.219595082555067
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,133.08271266893652
NHOHCount,1
PEOE_VSA1,9.473725907600098
PEOE_VSA2,14.905862972149976
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,23.259637120317212
PEOE_VSA8,0.0
PEOE_VSA9,25.3658041426936
RingCount,3
SMR_VSA10,22.960568518841544
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,309.10010796
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,11.49902366656781
PEOE_VSA12,0.0
PEOE_VSA13,11.814359458703011
PEOE_VSA14,0.0
SlogP_VSA1,14.790514511606428
SlogP_VSA2,26.033954541258076
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,11.126902983393991
SlogP_VSA6,48.53093654769288
SlogP_VSA7,0.0
SlogP_VSA8,11.146209060138535
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,2
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.814359458703011
EState_VSA2,0.0
EState_VSA3,33.772135710100336
EState_VSA4,0.0
EState_VSA5,14.219595082555067
EState_VSA6,30.33183534230805
EState_VSA7,18.19910120538483
