DLiP-ID,T002K0
DLiP-Mol-ID,18850
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22N2O5/c1-28-18-5-3-2-4-15(18)14-8-6-13(7-9-14)12-17(21(26)27)23-20(25)16-10-11-19(24)22-16/h2-9,16-17H,10-12H2,1H3,(H,22,24)(H,23,25)(H,26,27)/t16?,17-/m0/s1"
Standard Inchi Key(RDKit),ILIJAAWQIUXHNY-DJNXLDHESA-N
Canonical SMILES(RDKit),COc1ccccc1-c1ccc(C[C@H](NC(=O)C2CCC(=O)N2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),382.416
MW Monoisotopic(RDKit),382.152871804
MolLogP(RDKit),1.7527
XLogP(SDF),
XLogP(CDK),2.171
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.676752120071198
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2518423.764890372
qed,0.6767521200711977
Chi0,20.0956473593183
Chi1,13.473565548236332
TPSA,104.73
Chi0n,15.475029792811315
Chi0v,15.475029792811315
Chi1n,9.02537304387064
Chi1v,9.02537304387064
Chi2n,6.659517891043737
Chi2v,6.659517891043737
Chi3n,4.738109408235699
Chi3v,4.738109408235699
Chi4n,3.222348865364845
Chi4v,3.222348865364845
MolMR,102.86520000000006
MolWt,382.4160000000001
fr_SH,0
Kappa1,19.41264832499674
Kappa2,8.559287154172155
Kappa3,4.485577023625557
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,878.6196098549258
MolLogP,1.7526999999999993
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.6892672536655413
SMR_VSA1,24.227001900856216
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
SMR_VSA5,31.34614652707395
SMR_VSA6,7.109797541277533
SMR_VSA7,54.09438803938988
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
