DLiP-ID,I001GZ
DLiP-Mol-ID,29936
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H15BrN2O3S2/c22-14-7-5-12(6-8-14)9-18-19(25)24(21(28)29-18)17(20(26)27)10-13-11-23-16-4-2-1-3-15(13)16/h1-9,11,17,23H,10H2,(H,26,27)/b18-9-/t17-/m0/s1"
Standard Inchi Key(RDKit),YWNIWYSIZUOBBC-NBPJVQFTSA-N
Canonical SMILES(RDKit),O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)/C(=C/c2ccc(Br)cc2)SC1=S
SMILES(SDF),
MW(SDF),
MW(RDKit),487.4
MW Monoisotopic(RDKit),485.97074644
MolLogP(RDKit),4.8275
XLogP(SDF),
XLogP(CDK),4.123
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),73.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.398695627577413
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCL2-Like_BAX
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,5028744.8574191835
qed,0.3986956275774131
Chi0,20.543241116511002
Chi1,13.935560745775547
TPSA,73.4
Chi0n,14.96334456813703
Chi0v,18.182334269107187
Chi1n,8.742517073928116
Chi1v,10.760260214877057
Chi2n,6.5209209193577164
Chi2v,9.112362037345562
Chi3n,4.67623017723461
Chi3v,6.535293572298999
Chi4n,3.2567191919923237
