DLiP-ID,T006RS
DLiP-Mol-ID,24475
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22N8/c1-2-4-16-10-20-19(9-15(16)3-1)21(25-7-5-17-11-23-13-27-17)29-30-22(20)26-8-6-18-12-24-14-28-18/h1-4,9-14H,5-8H2,(H,23,27)(H,24,28)(H,25,29)(H,26,30)"
Standard Inchi Key(RDKit),VRUWAQGLQKNVQM-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2cc3c(NCCc4c[nH]cn4)nnc(NCCc4c[nH]cn4)c3cc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),398.474
MW Monoisotopic(RDKit),398.196742704
MolLogP(RDKit),3.5384
XLogP(SDF),
XLogP(CDK),3.484
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),107.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.297918272670291
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,SOD1 dimer
Common Target Pref Name,SOD1 dimer
RDKit Descriptors
Ipc,19401134.733107526
qed,0.2979182726702908
Chi0,20.175151339621053
Chi1,14.865305980755144
TPSA,107.2
Chi0n,16.390784198642283
Chi0v,16.390784198642283
Chi1n,9.98914014800509
Chi1v,9.98914014800509
Chi2n,7.116790698844046
Chi2v,7.116790698844046
Chi3n,5.1029807659370965
Chi3v,5.1029807659370965
Chi4n,3.574227852788753
Chi4v,3.574227852788753
MolMR,118.60680000000002
MolWt,398.47400000000016
fr_SH,0
Kappa1,18.11167398624795
Kappa2,8.200376189710642
Kappa3,3.795422832806619
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1147.1205525400612
MolLogP,3.538400000000001
NOCount,8
fr_Ar_N,6
fr_COO2,0
fr_urea,0
BalabanJ,1.4331273763169354
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,30.133277700390906
SMR_VSA4,0.0
SMR_VSA5,12.841643245852019
SMR_VSA6,23.723090019837812
SMR_VSA7,72.83438569322183
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,2
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,172.73377975411728
NHOHCount,4
PEOE_VSA1,20.60153424990708
PEOE_VSA2,0.0
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
PEOE_VSA6,24.26546827384644
PEOE_VSA7,22.90518256585281
PEOE_VSA8,49.09729162983292
PEOE_VSA9,24.042496139226003
RingCount,5
SMR_VSA10,33.180622413529235
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,398.19674270400003
NumHDonors,4
PEOE_VSA10,0.0
PEOE_VSA11,11.635725555670057
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,43.222790512216065
SlogP_VSA3,12.841643245852019
SlogP_VSA4,0.0
