DLiP-ID,J0005E
DLiP-Mol-ID,26908
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H31N5O/c1-3-4-12-25-13-10-20(11-14-25)26(16-18-8-6-5-7-9-18)21(27)23-19-15-22-24(2)17-19/h5-9,15,17,20H,3-4,10-14,16H2,1-2H3,(H,23,27)"
Standard Inchi Key(RDKit),SVCRAMBIJRVICQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCN1CCC(N(Cc2ccccc2)C(=O)Nc2cnn(C)c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),369.513
MW Monoisotopic(RDKit),369.252860612
MolLogP(RDKit),3.7187
XLogP(SDF),
XLogP(CDK),3.414
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),53.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.80922404192661
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,1831096.0762542807
qed,0.8092240419266097
Chi0,19.062267164498692
Chi1,13.152198343190413
TPSA,53.4
Chi0n,16.472759075473085
Chi0v,16.472759075473085
Chi1n,9.979642896210835
Chi1v,9.979642896210835
Chi2n,7.372700161766797
Chi2v,7.372700161766797
Chi3n,5.238520779206699
Chi3v,5.238520779206699
Chi4n,3.6642267146495455
Chi4v,3.6642267146495455
MolMR,108.58170000000007
MolWt,369.51300000000015
fr_SH,0
Kappa1,19.422371763233382
Kappa2,9.553706027103992
Kappa3,5.565372111403892
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,706.3718630751233
MolLogP,3.718700000000003
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,1
BalabanJ,1.667400743943518
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,19.58030420514718
SMR_VSA4,7.04767198267719
SMR_VSA5,45.193620926455196
SMR_VSA6,24.951057821744058
SMR_VSA7,48.288973977231194
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.70025662581054
NHOHCount,1
PEOE_VSA1,15.116608065707286
PEOE_VSA2,4.681802935145185
PEOE_VSA3,4.794537184071822
