DLiP-ID,C000V9
DLiP-Mol-ID,31426
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H8O6/c16-9-3-1-2-7-11(9)14(19)12-8(13(7)18)4-6(15(20)21)5-10(12)17/h1-5,16-17H,(H,20,21)"
Standard Inchi Key(RDKit),FCDLCPWAQCPTKC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),284.223
MW Monoisotopic(RDKit),284.032087976
MolLogP(RDKit),1.5714
XLogP(SDF),
XLogP(CDK),1.911
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),111.9
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.624999589856874
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,55500.72361658115
qed,0.6249995898568739
Chi0,15.309036597829
Chi1,9.913591357920934
TPSA,111.9
Chi0n,10.453137003839593
Chi0v,10.453137003839593
Chi1n,5.931910303181277
Chi1v,5.931910303181277
Chi2n,4.581032305073426
Chi2v,4.581032305073426
Chi3n,3.350328553680847
Chi3v,3.350328553680847
Chi4n,2.4060258359034337
Chi4v,2.4060258359034337
MolMR,70.03790000000001
MolWt,284.22300000000007
fr_SH,0
Kappa1,12.862251838410245
Kappa2,4.172915254738535
Kappa3,1.6929090320956666
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,834.2977538207974
MolLogP,1.5714000000000004
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.355251542212119
SMR_VSA1,29.703193736737582
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,58.14909280079303
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,117.44476007194095
NHOHCount,3
PEOE_VSA1,15.319582184522117
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,18.19910120538483
PEOE_VSA8,11.126902983393991
PEOE_VSA9,16.690354475090988
RingCount,3
SMR_VSA10,17.535795180681728
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,2
fr_lactam,0
fr_phenol,2
ExactMolWt,284.032087976
NumHDonors,3
PEOE_VSA10,11.49902366656781
