DLiP-ID,T0007A
DLiP-Mol-ID,15572
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H33N3O3/c1-30-20-8-6-19-7-9-23(28)22(21(19)16-20)17-25-12-14-26(15-13-25)18-24(29)27-10-4-2-3-5-11-27/h6-9,16,28H,2-5,10-15,17-18H2,1H3"
Standard Inchi Key(RDKit),AOUHWULWMVOYCP-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2ccc(O)c(CN3CCN(CC(=O)N4CCCCCC4)CC3)c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),411.546
MW Monoisotopic(RDKit),411.252191916
MolLogP(RDKit),3.0742
XLogP(SDF),
XLogP(CDK),2.727
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),56.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.8195451004715
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,9307511.984022666
qed,0.8195451004714995
Chi0,20.924074484064484
Chi1,14.635361590784807
TPSA,56.25000000000001
Chi0n,17.97738368311426
Chi0v,17.97738368311426
Chi1n,11.149356559984477
Chi1v,11.149356559984477
Chi2n,8.49760405213358
Chi2v,8.49760405213358
Chi3n,6.479797959002401
Chi3v,6.479797959002401
Chi4n,4.582997004194903
Chi4v,4.582997004194903
MolMR,118.92980000000006
MolWt,411.54600000000033
fr_SH,0
Kappa1,20.942394025074
Kappa2,9.66550328376397
Kappa3,4.872965875972978
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,869.3703523112306
MolLogP,3.074200000000002
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.3569383377296367
SMR_VSA1,14.637927532712578
SMR_VSA2,0.0
SMR_VSA3,14.699729192551434
SMR_VSA4,0.0
SMR_VSA5,32.22804289761662
SMR_VSA6,52.92309238266555
SMR_VSA7,35.89528683400505
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
