DLiP-ID,I000CF
DLiP-Mol-ID,28189
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H30N4O2/c1-28(2)17-32(14-12-18-16-30-22-6-4-3-5-20(18)22)24-9-7-19(15-26(24)34-28)31-23-11-13-29-27-21(23)8-10-25(27)33/h3-7,9,11,13,15-16,25,30,33H,8,10,12,14,17H2,1-2H3,(H,29,31)/t25-/m0/s1"
Standard Inchi Key(RDKit),FXVFQWKPIVYPNN-VWLOTQADSA-N
Canonical SMILES(RDKit),CC1(C)CN(CCc2c[nH]c3ccccc23)c2ccc(Nc3ccnc4c3CC[C@@H]4O)cc2O1
SMILES(SDF),
MW(SDF),
MW(RDKit),454.574
MW Monoisotopic(RDKit),454.2368762
MolLogP(RDKit),5.50620000000001
XLogP(SDF),
XLogP(CDK),4.454
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.41
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.371026206875651
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,100149703.95584612
qed,0.37102620687565074
Chi0,23.285881803630286
Chi1,16.46625961205904
TPSA,73.41000000000001
Chi0n,19.63627594398236
Chi0v,19.63627594398236
Chi1n,12.0266416723503
Chi1v,12.0266416723503
Chi2n,9.977090320351497
Chi2v,9.977090320351497
Chi3n,6.935909415415249
Chi3v,6.935909415415249
Chi4n,5.351875949305702
Chi4v,5.351875949305702
MolMR,136.16519999999997
MolWt,454.57400000000024
fr_SH,0
Kappa1,21.05207801561856
Kappa2,8.061689280076209
Kappa3,3.7780097830746846
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1359.7874229125794
MolLogP,5.506200000000006
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2537204763275183
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
