DLiP-ID,C001DJ
DLiP-Mol-ID,32202
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2"
Standard Inchi Key(RDKit),VGEREEWJJVICBM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),274.272
MW Monoisotopic(RDKit),274.084123548
MolLogP(RDKit),2.3245
XLogP(SDF),
XLogP(CDK),2.831
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),97.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.641341435161207
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,27304.89174267426
qed,0.6413414351612072
Chi0,14.698306133819765
Chi1,9.46923425058676
TPSA,97.99000000000001
Chi0n,10.575417849974547
