DLiP-ID,C100PM
DLiP-Mol-ID,35951
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C14H9ClN4O2/c15-11-4-2-5-12(8-11)18-9-14(16-17-18)10-3-1-6-13(7-10)19(20)21/h1-9H
Standard Inchi Key(RDKit),LIUXQRRGFZNZSH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1cccc(-c2cn(-c3cccc(Cl)c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),300.705
MW Monoisotopic(RDKit),300.041403208
MolLogP(RDKit),3.4959
XLogP(SDF),
XLogP(CDK),3.993
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),73.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.547895655474537
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,97637.43664645564
qed,0.547895655474537
Chi0,14.819626477379408
Chi1,10.131030293135234
TPSA,73.85
Chi0n,10.67946785864342
Chi0v,11.435396804661876
Chi1n,6.064559435858474
Chi1v,6.4425239088677015
Chi2n,4.335661310529129
Chi2v,4.772097091001114
Chi3n,2.9188679012382495
Chi3v,3.1539650040259883
Chi4n,1.9197055676410366
Chi4v,2.1042339468686655
MolMR,78.45940000000002
MolWt,300.705
fr_SH,0
Kappa1,13.262204645280816
Kappa2,5.336075903003142
Kappa3,2.7494985009144854
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,815.9935107377643
MolLogP,3.4959000000000016
NOCount,6
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.9844159624241882
SMR_VSA1,4.923311048817671
SMR_VSA2,0.0
SMR_VSA3,14.993869839101091
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,69.86473170181286
SMR_VSA8,0.0
SMR_VSA9,16.944765761229018
fr_Al_OH,0
fr_Ar_NH,0
