DLiP-ID,I001IP
DLiP-Mol-ID,30024
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H12BrN3O3/c1-21-12-7-10(15)6-9(13(12)19)8-17-18-14(20)11-4-2-3-5-16-11/h2-8,19H,1H3,(H,18,20)"
Standard Inchi Key(RDKit),ZMECOPHBTSLPQS-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(Br)cc(C=NNC(=O)c2ccccn2)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),350.172
MW Monoisotopic(RDKit),349.006203344
MolLogP(RDKit),2.3222
XLogP(SDF),
XLogP(CDK),2.87
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),83.81
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.654850765513919
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,57977.85994349895
qed,0.6548507655139191
Chi0,15.242276208189782
Chi1,10.113392202930193
TPSA,83.81
Chi0n,11.077553724764211
Chi0v,12.663550263878914
Chi1n,5.924747797745477
Chi1v,6.717746067302829
Chi2n,3.9599875402520364
Chi2v,4.875663069043726
Chi3n,2.5563772945302357
Chi3v,3.0142150589260797
Chi4n,1.5632371833293555
Chi4v,2.017778186099037
MolMR,81.65600000000002
MolWt,350.172
fr_SH,0
Kappa1,14.987948657014483
Kappa2,6.847340691268141
Kappa3,3.7891174062723865
fr_ArN,0
fr_COO,0
