DLiP-ID,C100NF
DLiP-Mol-ID,35869
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16FNO6S2/c1-12(23)28-20-16-5-3-2-4-15(16)17(10-18(20)29-11-19(24)25)22-30(26,27)14-8-6-13(21)7-9-14/h2-10,22H,11H2,1H3,(H,24,25)"
Standard Inchi Key(RDKit),XXWGOUBBDOVCOB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Oc1c(SCC(=O)O)cc(NS(=O)(=O)c2ccc(F)cc2)c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),449.481
MW Monoisotopic(RDKit),449.040307452
MolLogP(RDKit),3.8817
XLogP(SDF),
XLogP(CDK),3.786
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),109.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.319953234556171
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,3612095.3229372753
qed,0.3199532345561706
Chi0,21.888540578131746
Chi1,14.169540980499772
TPSA,109.77000000000001
Chi0n,15.58617530564941
Chi0v,17.21916846750486
Chi1n,8.543087652824704
Chi1v,11.011849460072588
Chi2n,6.132447784390073
Chi2v,8.83202670061666
Chi3n,3.926282646583519
Chi3v,6.313231467990925
Chi4n,2.7206852009244304
Chi4v,4.554200711301093
MolMR,110.82530000000001
MolWt,449.48100000000017
fr_SH,0
Kappa1,21.595328731066058
Kappa2,8.719061704748672
Kappa3,4.891486158291491
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1226.0253185908725
MolLogP,3.881700000000002
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.146782438852446
SMR_VSA1,32.240676748788154
SMR_VSA2,0.0
