DLiP-ID,T005OG
DLiP-Mol-ID,22774
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H26F3N5O2S/c1-4-29(5-2)12-6-11-26-20(31)17-13-27-30(19(17)22(23,24)25)21-28-18(14-33-21)15-7-9-16(32-3)10-8-15/h7-10,13-14H,4-6,11-12H2,1-3H3,(H,26,31)"
Standard Inchi Key(RDKit),RRVWTVVDLQKPSR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)CCCNC(=O)c1cnn(-c2nc(-c3ccc(OC)cc3)cs2)c1C(F)(F)F
SMILES(SDF),
MW(SDF),
MW(RDKit),481.544
MW Monoisotopic(RDKit),481.175930732
MolLogP(RDKit),4.4849
XLogP(SDF),
XLogP(CDK),4.229
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.432400116792283
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,25245513.854150295
qed,0.432400116792283
Chi0,24.00986092169139
Chi1,15.777736770968696
TPSA,72.28
Chi0n,18.647128193489603
Chi0v,19.46362477441733
Chi1n,10.541063502068523
Chi1v,11.420716313323418
Chi2n,7.196572649503156
Chi2v,8.0331255419643
Chi3n,5.172500362101753
Chi3v,5.988654232441933
Chi4n,3.327983441750828
Chi4v,4.123135707558468
MolMR,120.96420000000003
MolWt,481.54400000000015
fr_SH,0
Kappa1,24.71712290346454
Kappa2,10.798505859375004
Kappa3,5.907882840633263
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1058.918378919896
MolLogP,4.484900000000003
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.7989317985900106
