DLiP-ID,T005NU
DLiP-Mol-ID,22751
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N4O3/c30-23(10-5-13-26-25-28-21-8-3-4-9-22(21)29-25)27-16-17-11-12-18-6-1-2-7-20(18)19(14-17)15-24(31)32/h1-4,6-9,11,19H,5,10,12-16H2,(H,27,30)(H,31,32)(H2,26,28,29)"
Standard Inchi Key(RDKit),RQMPMSIEFFKLGD-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC1CC(CNC(=O)CCCNc2nc3ccccc3[nH]2)=CCc2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),432.524
MW Monoisotopic(RDKit),432.216140756
MolLogP(RDKit),4.0023
XLogP(SDF),
XLogP(CDK),2.748
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),107.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.301978978551629
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,22166218.940501805
qed,0.30197897855162903
Chi0,22.33828804643758
Chi1,15.580520035918415
TPSA,107.11000000000001
Chi0n,17.934173932129738
Chi0v,17.934173932129738
Chi1n,11.010738096827184
Chi1v,11.010738096827184
Chi2n,8.17383962830619
Chi2v,8.17383962830619
Chi3n,5.810235672751196
Chi3v,5.810235672751196
Chi4n,4.21244358712295
Chi4v,4.21244358712295
MolMR,124.66690000000004
MolWt,432.5240000000001
fr_SH,0
Kappa1,21.615576635532324
Kappa2,10.13191441075256
Kappa3,5.5450065267796464
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1101.9272625022302
MolLogP,4.002300000000002
NOCount,7
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.2319289405467342
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
