DLiP-ID,C004QO
DLiP-Mol-ID,30201
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3"
Standard Inchi Key(RDKit),MJVAVZPDRWSRRC-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1=CC(=O)c2ccccc2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),172.183
MW Monoisotopic(RDKit),172.052429496
MolLogP(RDKit),2.0119
XLogP(SDF),
XLogP(CDK),1.621
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),34.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.599483491088417
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Perilipin-1/ABHD5
Common Target Pref Name,Perilipin-1/ABHD5
RDKit Descriptors
Ipc,1131.0684223072026
qed,0.5994834910884169
Chi0,9.422285251880869
Chi1,6.198377302757661
TPSA,34.14
Chi0n,7.203247926875856
Chi0v,7.203247926875856
Chi1n,4.0629488288431155
Chi1v,4.0629488288431155
Chi2n,3.066308966515398
Chi2v,3.066308966515398
Chi3n,2.1429066593067634
Chi3v,2.1429066593067634
Chi4n,1.4483417997305061
Chi4v,1.4483417997305061
MolMR,48.86000000000002
MolWt,172.18299999999996
fr_SH,0
Kappa1,7.92396721528191
Kappa2,2.6601182477828544
Kappa3,1.1085425487040885
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,427.4713488019866
MolLogP,2.0119000000000002
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.690389534648589
