DLiP-ID,P0001N
DLiP-Mol-ID,22502
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H15BrClNO3/c1-10-16(18(25-2)19(23)24)17(11-3-6-13(21)7-4-11)14-9-12(20)5-8-15(14)22-10/h3-9,18H,1-2H3,(H,23,24)/t18-/m0/s1"
Standard Inchi Key(RDKit),BNDPDYQQAJUJPY-SFHVURJKSA-N
Canonical SMILES(RDKit),CO[C@H](C(=O)O)c1c(C)nc2ccc(Br)cc2c1-c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),420.69
MW Monoisotopic(RDKit),418.99238312
MolLogP(RDKit),5.39822
XLogP(SDF),
XLogP(CDK),4.755
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.42
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.613874507140233
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,INTEGRASE/LEDGF
Common Target Pref Name,INTEGRASE/LEDGF
RDKit Descriptors
Ipc,403702.9228270989
qed,0.6138745071402326
Chi0,18.137463722575188
Chi1,11.917922655570505
TPSA,59.42
Chi0n,13.585654871463106
Chi0v,15.927580356596264
Chi1n,7.533610908298605
Chi1v,8.704573650865184
Chi2n,5.608232514177072
Chi2v,6.960343823440747
Chi3n,4.030301146201734
Chi3v,4.775529100258259
Chi4n,2.9634067982726355
Chi4v,3.450480216399859
MolMR,102.01180000000001
MolWt,420.69000000000005
fr_SH,0
Kappa1,17.859638208612715
Kappa2,7.117645757183365
Kappa3,3.4013071723003985
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,957.0355875552445
MolLogP,5.398220000000004
NOCount,4
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.4440217561412743
SMR_VSA1,14.637927532712576
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,13.027703587438927
SMR_VSA6,7.109797541277533
SMR_VSA7,63.21730179535046
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,158.0896932100988
NHOHCount,1
PEOE_VSA1,9.843390348640755
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,39.663617925105086
PEOE_VSA7,48.382475525392664
PEOE_VSA8,33.248754071861526
PEOE_VSA9,5.516700717616262
RingCount,3
SMR_VSA10,44.40311400821477
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,418.99238312
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,6.103966387748303
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,23.169608745017296
SlogP_VSA3,9.53140013787187
