DLiP-ID,T007IM
DLiP-Mol-ID,25632
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19N3O4/c20-18(21)14-3-1-12(2-4-14)11-26-15-6-5-13-7-8-22(10-17(23)24)19(25)16(13)9-15/h1-6,9H,7-8,10-11H2,(H3,20,21)(H,23,24)"
Standard Inchi Key(RDKit),XYJDDLQKLHOHGN-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(COc2ccc3c(c2)C(=O)N(CC(=O)O)CC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),353.378
MW Monoisotopic(RDKit),353.137556088
MolLogP(RDKit),1.63257
XLogP(SDF),
XLogP(CDK),-0.134
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),116.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.538984750701053
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,712316.9271096155
qed,0.5389847507010533
Chi0,18.681433796945203
Chi1,12.435560745775545
TPSA,116.71000000000002
Chi0n,14.066401340654705
Chi0v,14.066401340654705
Chi1n,8.13945308095738
Chi1v,8.13945308095738
Chi2n,6.08867341651906
Chi2v,6.08867341651906
Chi3n,4.246575690737583
Chi3v,4.246575690737583
Chi4n,2.851072331648899
Chi4v,2.851072331648899
MolMR,95.47540000000001
MolWt,353.3780000000001
fr_SH,0
Kappa1,17.47230332155244
Kappa2,7.264051997663113
Kappa3,3.826164180769678
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,861.5879966632374
MolLogP,1.63257
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7034226377857744
SMR_VSA1,19.432464716784395
SMR_VSA2,5.409283605791522
SMR_VSA3,4.899909730850478
SMR_VSA4,5.733667477162185
SMR_VSA5,13.027703587438928
SMR_VSA6,13.08951281182515
SMR_VSA7,64.71837544601925
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,150.05315952107935
NHOHCount,4
PEOE_VSA1,20.47696755665342
PEOE_VSA2,14.998357973935164
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,29.68045874324322
PEOE_VSA8,17.671659389306566
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.712104803060626
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
