DLiP-ID,P000GE
DLiP-Mol-ID,25842
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H19ClN4O/c1-10-8-18(5-3-16-10)9-14(20)19-4-2-11-7-17-13(15)6-12(11)19/h6-7,10,16H,2-5,8-9H2,1H3/p+1/t10-/m1/s1"
Standard Inchi Key(RDKit),UIUNSWTUDREESN-SNVBAGLBSA-O
Canonical SMILES(RDKit),C[C@@H]1CN(CC(=O)N2CCc3cnc(Cl)cc32)CC[NH2+]1
SMILES(SDF),
MW(SDF),
MW(RDKit),295.794
MW Monoisotopic(RDKit),295.13201536009
MolLogP(RDKit),-0.108399999999998
XLogP(SDF),
XLogP(CDK),0.224
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),53.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.774936599106463
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP-BIR3/SMAC
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,53071.481475562636
qed,0.7749365991064631
Chi0,14.11251969619286
Chi1,9.631030293135236
TPSA,53.050000000000004
Chi0n,11.679895313850755
Chi0v,12.43582425986921
Chi1n,7.137349097222668
Chi1v,7.515313570231895
Chi2n,5.667892136272538
Chi2v,6.055140877454234
Chi3n,4.044551074999114
Chi3v,4.251250027411962
Chi4n,3.0391111218015006
Chi4v,3.1912556016553526
MolMR,77.99840000000003
MolWt,295.7940000000001
fr_SH,0
Kappa1,13.7966760315832
Kappa2,5.6756168371245295
Kappa3,2.7971204254179796
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,521.8954093358506
MolLogP,-0.1083999999999995
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6851887758005424
SMR_VSA1,10.111325788078153
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
SMR_VSA5,19.386399651764595
SMR_VSA6,37.62369176041335
SMR_VSA7,22.97977194866447
SMR_VSA8,0.0
