DLiP-ID,T000HV
DLiP-Mol-ID,16015
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H23N3O2/c1-14(2)8-7-13-23-16-11-6-12-19-17(16)21-18(22)20-15-9-4-3-5-10-15/h3-6,9-12,14H,7-8,13H2,1-2H3,(H2,19,20,21,22)"
Standard Inchi Key(RDKit),BJPCJZRYPWHPQQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)CCCOc1cccnc1NC(=O)Nc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),313.401
MW Monoisotopic(RDKit),313.179026976
MolLogP(RDKit),4.5406
XLogP(SDF),
XLogP(CDK),4.3
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),63.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.737567886346602
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,156396.7653905974
qed,0.7375678863466015
Chi0,16.493353063746348
Chi1,11.147867045540842
TPSA,63.25
Chi0n,13.581182942693962
Chi0v,13.581182942693962
Chi1n,7.85770334518337
Chi1v,7.85770334518337
Chi2n,5.679831604482366
Chi2v,5.679831604482366
Chi3n,3.2176607685169216
Chi3v,3.2176607685169216
Chi4n,2.0659749393425906
Chi4v,2.0659749393425906
MolMR,92.88740000000004
MolWt,313.401
fr_SH,0
Kappa1,16.80443250167075
Kappa2,8.779097654888695
Kappa3,5.981693374511976
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,614.6735798273698
MolLogP,4.540600000000003
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.9002518418023664
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.917906046161393
SMR_VSA5,26.689117645233267
SMR_VSA6,17.24045917252558
SMR_VSA7,48.661413050844345
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,136.6375318040505
NHOHCount,2
PEOE_VSA1,10.05365155780638
PEOE_VSA2,5.316788604006331
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,32.046575604766076
PEOE_VSA7,43.02501756585985
PEOE_VSA8,11.884229846296638
PEOE_VSA9,6.606881964512918
RingCount,2
SMR_VSA10,17.53636356485666
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
