DLiP-ID,T002CB
DLiP-Mol-ID,18524
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H26N2O3S/c1-2-3-12-18-17(20)16-10-7-13-19(16)23(21,22)14-11-15-8-5-4-6-9-15/h4-6,8-9,16H,2-3,7,10-14H2,1H3,(H,18,20)"
Standard Inchi Key(RDKit),HWLZHYNPBCXQNK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCNC(=O)C1CCCN1S(=O)(=O)CCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),338.473
MW Monoisotopic(RDKit),338.166413692
MolLogP(RDKit),1.9396
XLogP(SDF),
XLogP(CDK),2.591
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.736763354614381
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,182966.28923376443
qed,0.7367633546143808
Chi0,16.708896013370172
Chi1,11.042841985014105
TPSA,66.48
Chi0n,13.70116262198555
Chi0v,14.517659202913276
Chi1n,8.354954044713862
Chi1v,9.964119352240267
Chi2n,5.9649338313257365
Chi2v,8.006028093240772
Chi3n,4.1847129140844785
Chi3v,6.056395706336496
Chi4n,2.850061942723384
Chi4v,4.57437105752374
MolMR,91.57850000000006
MolWt,338.473
fr_SH,0
Kappa1,17.94615083405122
Kappa2,8.451552821564356
Kappa3,5.04100837483024
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
