DLiP-ID,C000T3
DLiP-Mol-ID,31319
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H9ClN2O/c1-7-6-10(14)13(12-7)9-4-2-8(11)3-5-9/h2-5H,6H2,1H3"
Standard Inchi Key(RDKit),WHIXQFSPEDIMGL-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1=NN(c2ccc(Cl)cc2)C(=O)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),208.648
MW Monoisotopic(RDKit),208.040340588
MolLogP(RDKit),2.4526
XLogP(SDF),
XLogP(CDK),2.107
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),32.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.69793767342356
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2052.3929629818695
qed,0.6979376734235595
Chi0,10.129392033067417
Chi1,6.664703797946448
TPSA,32.67
Chi0n,7.6971478124180575
Chi0v,8.453076758436511
Chi1n,4.292400761218949
Chi1v,4.670365234228176
Chi2n,3.1940094887298045
Chi2v,3.630445269201789
Chi3n,1.9852017362080803
Chi3v,2.237178051547565
Chi4n,1.3395933983510442
Chi4v,1.4655815560207865
MolMR,56.66400000000002
MolWt,208.64799999999997
fr_SH,0
Kappa1,9.2146124327443
Kappa2,3.422157799662025
Kappa3,1.6321887767487218
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,397.08795475461835
MolLogP,2.4526000000000003
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.3154982089596716
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.101407525739723
SMR_VSA5,13.344558822616634
SMR_VSA6,5.008912523954532
SMR_VSA7,29.288101587587764
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,86.97542092677809
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,4.794537184071822
PEOE_VSA3,5.008912523954532
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,31.18920547353706
PEOE_VSA8,10.734318316512027
PEOE_VSA9,12.10820789760957
RingCount,2
SMR_VSA10,28.907190897038284
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,208.040340588
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.008912523954532
SlogP_VSA2,11.618864732122208
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,13.344558822616634
SlogP_VSA6,29.36687579958616
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
