DLiP-ID,T0038R
DLiP-Mol-ID,19920
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22N4O6/c1-11-17(12(2)31-24-11)19(26)23-15(21(28)29)9-13-5-7-14(8-6-13)18-16(30-4)10-22-25(3)20(18)27/h5-8,10,15H,9H2,1-4H3,(H,23,26)(H,28,29)/t15-/m0/s1"
Standard Inchi Key(RDKit),KNSNCKFGKKFIGH-HNNXBMFYSA-N
Canonical SMILES(RDKit),COc1cnn(C)c(=O)c1-c1ccc(C[C@H](NC(=O)c2c(C)noc2C)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),426.429
MW Monoisotopic(RDKit),426.153934424
MolLogP(RDKit),1.48644
XLogP(SDF),
XLogP(CDK),0.192000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),136.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.579758539631172
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,7548007.2209227905
qed,0.5797585396311719
Chi0,22.706377823327532
Chi1,14.72245310821082
TPSA,136.54999999999998
Chi0n,17.501304230643452
Chi0v,17.501304230643452
Chi1n,9.386870370843129
Chi1v,9.386870370843129
Chi2n,6.981207185091031
Chi2v,6.981207185091031
Chi3n,4.868578694366976
Chi3v,4.868578694366976
Chi4n,3.2245704747128636
Chi4v,3.2245704747128636
MolMR,110.03700000000005
MolWt,426.4290000000002
fr_SH,0
Kappa1,21.75156208803742
Kappa2,8.820168388592798
Kappa3,4.471296203560892
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1160.0709048293131
MolLogP,1.4864399999999995
NOCount,10
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.8224232921893768
SMR_VSA1,23.955559653757746
SMR_VSA2,0.0
SMR_VSA3,20.253936604577998
SMR_VSA4,7.04767198267719
SMR_VSA5,26.31013685145522
SMR_VSA6,7.109797541277533
SMR_VSA7,63.39719432170023
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.99039047992582
NHOHCount,2
PEOE_VSA1,19.68327388962043
PEOE_VSA2,9.589074368143644
PEOE_VSA3,9.476340119217006
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,29.422131530971885
PEOE_VSA7,24.97437738277524
PEOE_VSA8,13.4684936056032
PEOE_VSA9,24.564020599436066
RingCount,3
SMR_VSA10,11.876485017303356
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,426.15393442399994
NumHDonors,2
PEOE_VSA10,17.3655397397194
PEOE_VSA11,5.749511833283905
PEOE_VSA12,0.0
PEOE_VSA13,11.466446624403513
PEOE_VSA14,5.969305287951849
SlogP_VSA1,15.612918452858388
SlogP_VSA2,45.07179878314122
SlogP_VSA3,18.26303078967502
SlogP_VSA4,13.847474399381248
SlogP_VSA5,27.37561558118872
SlogP_VSA6,39.77994396650468
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
