DLiP-ID,C000FM
DLiP-Mol-ID,30639
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H12BrNO2/c14-7-4-5-11-10(6-7)8-2-1-3-9(8)12(15-11)13(16)17/h1-2,4-6,8-9,12,15H,3H2,(H,16,17)"
Standard Inchi Key(RDKit),REGZZMYIDMVSBE-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)C1Nc2ccc(Br)cc2C2C=CCC12
SMILES(SDF),
MW(SDF),
MW(RDKit),294.148
MW Monoisotopic(RDKit),293.005140724
MolLogP(RDKit),2.9875
XLogP(SDF),
XLogP(CDK),2.779
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.782834608351163
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,12857.262147513744
qed,0.7828346083511635
Chi0,11.991199352633217
Chi1,8.164703797946448
TPSA,49.33
Chi0n,9.059335293676604
Chi0v,10.645331832791308
Chi1n,5.620602369244607
Chi1v,6.413600638801959
Chi2n,4.545311173411727
Chi2v,5.4609867022034155
Chi3n,3.5908761491435226
Chi3v,4.084127787860563
Chi4n,2.809613588416988
Chi4v,3.1884057860350676
