DLiP-ID,C002UX
DLiP-Mol-ID,33207
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N4OS/c1-2-25-9-8-18-16(12-25)11-17-19(23)20(28-21(17)24-18)22(27)26-10-7-14-5-3-4-6-15(14)13-26/h3-6,11H,2,7-10,12-13,23H2,1H3"
Standard Inchi Key(RDKit),WUCKZOSKFXRLQN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN1CCc2nc3sc(C(=O)N4CCc5ccccc5C4)c(N)c3cc2C1
SMILES(SDF),
MW(SDF),
MW(RDKit),392.528
MW Monoisotopic(RDKit),392.167082388
MolLogP(RDKit),3.455
XLogP(SDF),
XLogP(CDK),2.408
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),62.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.725531705668418
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,4745439.897581128
qed,0.7255317056684177
Chi0,19.25034789769755
Chi1,13.63536159078481
TPSA,62.46000000000001
Chi0n,16.07198645087119
Chi0v,16.888483031798916
Chi1n,9.929027675563626
Chi1v,10.745524256491352
Chi2n,7.655949380028326
Chi2v,8.655020146791104
Chi3n,6.007787508823739
Chi3v,7.110994744384997
Chi4n,4.297392416858903
Chi4v,5.361740026472048
MolMR,113.57390000000002
MolWt,392.5280000000002
fr_SH,0
Kappa1,17.644473953574394
Kappa2,6.865759244993539
Kappa3,2.8769110432415252
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1073.829155777263
MolLogP,3.455000000000002
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.478606304213614
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,32.85489325736779
SMR_VSA6,25.36793669489991
SMR_VSA7,57.593265005948794
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.3240699686285
NHOHCount,2
PEOE_VSA1,10.633577208012664
PEOE_VSA2,9.694446914922299
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,31.18920547353706
PEOE_VSA7,35.72229957239118
PEOE_VSA8,43.679999455889565
PEOE_VSA9,5.687386274683562
RingCount,5
SMR_VSA10,33.14797251605516
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,392.167082388
NumHDonors,1
PEOE_VSA10,9.707543613321866
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.733667477162185
SlogP_VSA2,40.325246929737396
SlogP_VSA3,25.93115605767717
SlogP_VSA4,0.0
SlogP_VSA5,38.97970404740319
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,10.216620634085363
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
