DLiP-ID,T001BM
DLiP-Mol-ID,16778
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H39N5O3/c1-5-32-16-17-33(28(36)24(19(2)3)30-26(34)20(4)29)23(18-32)27(35)31-25(21-12-8-6-9-13-21)22-14-10-7-11-15-22/h6-15,19-20,23-25H,5,16-18,29H2,1-4H3,(H,30,34)(H,31,35)"
Standard Inchi Key(RDKit),DRVHIROAQBIACT-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN1CCN(C(=O)C(NC(=O)C(C)N)C(C)C)C(C(=O)NC(c2ccccc2)c2ccccc2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),493.652
MW Monoisotopic(RDKit),493.305290108
MolLogP(RDKit),1.9129
XLogP(SDF),
XLogP(CDK),2.253
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),107.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.494715292045363
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,84732725.7197333
qed,0.4947152920453627
Chi0,26.241911729260256
Chi1,17.222453108210818
TPSA,107.77000000000001
Chi0n,21.685203494171713
Chi0v,21.685203494171713
Chi1n,12.715254880355856
Chi1v,12.715254880355856
Chi2n,9.72257845108534
Chi2v,9.72257845108534
Chi3n,6.693881475900615
Chi3v,6.693881475900615
Chi4n,4.480321600220694
Chi4v,4.480321600220694
MolMR,140.90279999999984
MolWt,493.65200000000016
fr_SH,0
Kappa1,27.3590800212316
Kappa2,12.646393649157844
Kappa3,6.705826790890278
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,972.8599183117549
MolLogP,1.9129000000000038
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8883468371016898
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,20.433396669713616
SMR_VSA4,11.651573523323577
SMR_VSA5,51.86231211535433
SMR_VSA6,26.1790256236503
SMR_VSA7,71.7905736680101
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,213.76558870714425
NHOHCount,4
PEOE_VSA1,21.267154416025324
PEOE_VSA2,19.28352128306594
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,81.43488228368798
PEOE_VSA7,30.51330263515858
PEOE_VSA8,19.634269217737724
PEOE_VSA9,12.083681658295921
RingCount,3
SMR_VSA10,17.721539188054518
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,493.305290108
NumHDonors,3
PEOE_VSA10,12.083681658295921
PEOE_VSA11,0.0
PEOE_VSA12,17.721539188054518
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,16.367244685174846
SlogP_VSA2,71.82590676084966
SlogP_VSA3,14.383611552215466
SlogP_VSA4,5.917906046161393
SlogP_VSA5,44.863692611304444
SlogP_VSA6,60.6636706846161
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
