DLiP-ID,C000GW
DLiP-Mol-ID,30678
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)"
Standard Inchi Key(RDKit),NUFNQYOELLVIPL-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
SMILES(SDF),
MW(SDF),
MW(RDKit),361.659
MW Monoisotopic(RDKit),360.996484664
MolLogP(RDKit),4.7575
XLogP(SDF),
XLogP(CDK),4.557
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),89.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.626158844432664
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,133272.15954663645
qed,0.6261588444326643
Chi0,18.068549621822843
Chi1,11.09124271851491
TPSA,89.67
Chi0n,11.503379860030034
Chi0v,12.25930880604849
Chi1n,6.156731092309489
Chi1v,6.5346955653187155
Chi2n,4.486239967156902
Chi2v,4.8934400938975084
Chi3n,2.8821386438881307
Chi3v,3.177508209105169
Chi4n,1.796051168129307
Chi4v,2.0151696358485705
MolMR,76.58370000000002
MolWt,361.65900000000005
fr_SH,0
Kappa1,17.542399216809397
Kappa2,6.36045327878438
Kappa3,3.7424567402136537
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,822.5425921879977
MolLogP,4.757500000000002
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
