DLiP-ID,T000MY
DLiP-Mol-ID,16246
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H27ClN2O4/c1-31-18-13-16-10-11-27-24(23(16)21(14-18)32-2)19-4-3-5-20(25(27)30)28(19)22(29)12-15-6-8-17(26)9-7-15/h6-9,13-14,19-20,24H,3-5,10-12H2,1-2H3"
Standard Inchi Key(RDKit),BVPVUSPPHFLKMI-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc2c(c(OC)c1)C1C3CCCC(C(=O)N1CC2)N3C(=O)Cc1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),454.954
MW Monoisotopic(RDKit),454.165935024
MolLogP(RDKit),3.789
XLogP(SDF),
XLogP(CDK),3.6
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),59.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.704884108778997
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,24091783.84823113
qed,0.7048841087789972
Chi0,22.4050484360768
Chi1,15.511570350697117
TPSA,59.080000000000005
Chi0n,18.344177935690517
Chi0v,19.10010688170897
Chi1n,11.123921527774026
Chi1v,11.501886000783253
Chi2n,8.747226542069924
Chi2v,9.18366232254191
Chi3n,7.070182990649776
Chi3v,7.322159305989262
Chi4n,5.669250096926778
Chi4v,5.795238254596521
MolMR,121.13300000000004
MolWt,454.9540000000002
fr_SH,0
Kappa1,21.133369075725387
Kappa2,8.319137719770568
Kappa3,3.4117597056029165
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1037.4025886821526
MolLogP,3.7890000000000033
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5403930515885313
SMR_VSA1,19.06280027574374
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,50.229630602073925
SMR_VSA6,20.764351488467643
SMR_VSA7,58.11119019960197
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
