DLiP-ID,T007PL
DLiP-Mol-ID,25925
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H21Cl2N3O4S/c1-25-19-7-2-4-13(26-19)8-9-31-14-10-15(32-12-14)11-18(22(29)30)27-21(28)20-16(23)5-3-6-17(20)24/h2-7,10,12,18H,8-9,11H2,1H3,(H,25,26)(H,27,28)(H,29,30)/t18-/m0/s1"
Standard Inchi Key(RDKit),YMYRFEUQHZOVAB-SFHVURJKSA-N
Canonical SMILES(RDKit),CNc1cccc(CCOc2csc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)c2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),494.4
MW Monoisotopic(RDKit),493.062982512
MolLogP(RDKit),4.5388
XLogP(SDF),
XLogP(CDK),2.239
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),100.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.382849363244349
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,14994185.880300771
qed,0.3828493632443491
Chi0,23.087211190881018
Chi1,15.367412398353688
TPSA,100.55000000000001
Chi0n,17.100822065140097
Chi0v,19.429176538104734
Chi1n,9.686423458514277
Chi1v,11.32200521578763
Chi2n,6.7764160840196785
Chi2v,8.58659825328225
Chi3n,4.518091187662802
Chi3v,6.085458141581204
Chi4n,2.921119240281176
Chi4v,4.340905095174066
MolMR,126.35770000000004
MolWt,494.40000000000026
