DLiP-ID,C001CF
DLiP-Mol-ID,32158
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H14O4/c21-15-9-5-13(6-10-15)20(14-7-11-16(22)12-8-14)18-4-2-1-3-17(18)19(23)24-20/h1-12,21-22H"
Standard Inchi Key(RDKit),KJFMBFZCATUALV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),318.328
MW Monoisotopic(RDKit),318.089208928
MolLogP(RDKit),3.5601
XLogP(SDF),
XLogP(CDK),4.376
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.709067432457466
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,490338.2246400698
qed,0.709067432457466
Chi0,16.733840039752504
Chi1,11.609027463715753
TPSA,66.76
Chi0n,12.639127002203155
Chi0v,12.639127002203155
Chi1n,7.529670710477215
Chi1v,7.529670710477215
