DLiP-ID,C001YG
DLiP-Mol-ID,27033
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10O2/c16-15(17)14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9H,(H,16,17)"
Standard Inchi Key(RDKit),XGWFJBFNAQHLEF-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1c2ccccc2cc2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),222.243
MW Monoisotopic(RDKit),222.06807956
MolLogP(RDKit),3.6912
XLogP(SDF),
XLogP(CDK),4.169
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),37.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.637361062899367
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,11843.343380784067
qed,0.637361062899367
Chi0,11.828062645816686
Chi1,8.270856947829095
TPSA,37.3
Chi0n,9.051614308670455
Chi0v,9.051614308670455
Chi1n,5.409781750550789
Chi1v,5.409781750550789
Chi2n,3.998991029004643
Chi2v,3.998991029004643
Chi3n,2.9851257993898366
Chi3v,2.9851257993898366
Chi4n,2.244109620151418
Chi4v,2.244109620151418
MolMR,68.41330000000002
MolWt,222.243
fr_SH,0
Kappa1,9.846331466601734
Kappa2,3.5948423980349644
Kappa3,1.4576908702143523
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
