DLiP-ID,C000LX
DLiP-Mol-ID,31021
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H23ClN2/c1-21(2)12-5-13-22-18-7-4-3-6-15(18)8-9-16-10-11-17(20)14-19(16)22/h3-4,6-7,10-11,14H,5,8-9,12-13H2,1-2H3"
Standard Inchi Key(RDKit),GDLIGKIOYRNHDA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21
SMILES(SDF),
MW(SDF),
MW(RDKit),314.86
MW Monoisotopic(RDKit),314.154976416
MolLogP(RDKit),4.5284
XLogP(SDF),
XLogP(CDK),4.652
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),6.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.817874432278155
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,125552.11623311831
qed,0.8178744322781549
Chi0,15.526733258565956
Chi1,10.647867045540844
TPSA,6.48
Chi0n,13.349377454269264
Chi0v,14.10530640028772
Chi1n,7.935569477126923
Chi1v,8.31353395013615
Chi2n,6.21021388658908
Chi2v,6.646649667061065
Chi3n,4.271276175731693
Chi3v,4.5063732785194315
Chi4n,3.1702873745895728
