DLiP-ID,P000IG
DLiP-Mol-ID,26319
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H20N2O3/c1-29-19-13-11-17(12-14-19)15-20(18-7-3-2-4-8-18)24(28)26-16-23(27)25-21-9-5-6-10-22(21)26/h2-15H,16H2,1H3,(H,25,27)/b20-15+"
Standard Inchi Key(RDKit),WQITZMVRSQPEBE-HMMYKYKNSA-N
Canonical SMILES(RDKit),COc1ccc(/C=C(/C(=O)N2CC(=O)Nc3ccccc32)c2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),384.435
MW Monoisotopic(RDKit),384.1473925
MolLogP(RDKit),4.2211
XLogP(SDF),
XLogP(CDK),3.896
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),58.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.541196178400227
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,5519948.068954193
qed,0.5411961784002273
Chi0,20.216967702877938
Chi1,14.152198343190413
TPSA,58.64
Chi0n,15.96196901673286
Chi0v,15.96196901673286
Chi1n,9.274366824217855
Chi1v,9.274366824217855
Chi2n,6.653820850590053
Chi2v,6.653820850590053
Chi3n,4.757813938932703
Chi3v,4.757813938932703
Chi4n,3.31288452022512
Chi4v,3.31288452022512
MolMR,114.7317
MolWt,384.43500000000006
fr_SH,0
Kappa1,18.50084730171864
Kappa2,8.022491002467943
Kappa3,3.8918758266128792
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1072.7946162724925
MolLogP,4.2211000000000025
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.782017617202384
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,23.871252282046918
SMR_VSA7,89.98967487339495
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.78609531569697
NHOHCount,1
PEOE_VSA1,10.05365155780638
PEOE_VSA2,14.48898409899412
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,54.59730361615449
PEOE_VSA7,41.468391364074314
PEOE_VSA8,5.573104530069267
PEOE_VSA9,18.484570090644656
RingCount,4
SMR_VSA10,34.838256644973285
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,384.1473925
NumHDonors,1
PEOE_VSA10,12.29426823919648
PEOE_VSA11,0.0
