DLiP-ID,I000GQ
DLiP-Mol-ID,28377
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H21Cl2NO6/c1-23(2,3)27-21(30)16-17(22(31)32)24(19(28)12-6-4-5-7-13(12)20(24)29)33-18(16)11-8-9-14(25)15(26)10-11/h4-10,16-18H,1-3H3,(H,27,30)(H,31,32)/t16-,17-,18-/m0/s1"
Standard Inchi Key(RDKit),HYVGWFKZIHKIQE-BZSNNMDCSA-N
Canonical SMILES(RDKit),CC(C)(C)NC(=O)[C@@H]1[C@H](c2ccc(Cl)c(Cl)c2)OC2(C(=O)c3ccccc3C2=O)[C@@H]1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),490.339
MW Monoisotopic(RDKit),489.074592752
MolLogP(RDKit),4.1144
XLogP(SDF),
XLogP(CDK),3.433
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),109.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.627108531287703
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,E2_E1
Common Target Pref Name,E1/E2
RDKit Descriptors
Ipc,17513222.3376529
qed,0.6271085312877034
Chi0,24.292164260954436
Chi1,15.380570393009275
TPSA,109.77
Chi0n,18.017886685733988
Chi0v,19.5297445777709
Chi1n,10.244645603262509
Chi1v,11.000574549280966
Chi2n,9.232423096781316
Chi2v,10.046823350262526
Chi3n,5.866268651168939
Chi3v,6.605297929906954
Chi4n,4.580418808898426
Chi4v,4.886949596796909
MolMR,120.63350000000005
MolWt,490.3390000000002
fr_SH,0
Kappa1,23.41925511169673
Kappa2,7.937048935997641
Kappa3,3.642643060413252
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1166.6808761088503
MolLogP,4.1144000000000025
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.9244383296194825
SMR_VSA1,29.021539084928037
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
