DLiP-ID,I0017Z
DLiP-Mol-ID,29552
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23N3O4/c1-2-30-19-10-6-9-18-20(19)17(15-24-18)21(27)23(29)26-13-11-25(12-14-26)22(28)16-7-4-3-5-8-16/h3-10,15,24H,2,11-14H2,1H3"
Standard Inchi Key(RDKit),UVQHGZDUSVOXFT-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1cccc2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),405.454
MW Monoisotopic(RDKit),405.168856216
MolLogP(RDKit),2.7339
XLogP(SDF),
XLogP(CDK),3.17
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),82.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.522697286306984
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,10569894.112116454
qed,0.5226972863069843
Chi0,21.087211190881014
Chi1,14.596555450524587
TPSA,82.71000000000001
Chi0n,16.759106681494742
Chi0v,16.759106681494742
Chi1n,10.006453963845273
Chi1v,10.006453963845273
Chi2n,7.093623295217883
Chi2v,7.093623295217883
Chi3n,5.281118158833711
Chi3v,5.281118158833711
Chi4n,3.740921389554213
Chi4v,3.740921389554213
MolMR,112.72370000000002
MolWt,405.4540000000001
fr_SH,0
Kappa1,19.695436931801805
Kappa2,8.405420954647699
Kappa3,3.6588296070573567
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1082.2811012177551
MolLogP,2.733900000000001
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4657559223409045
SMR_VSA1,19.120474506015512
SMR_VSA2,0.0
SMR_VSA3,14.783797982648164
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
