DLiP-ID,C001N9
DLiP-Mol-ID,32633
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H21ClN2O4/c1-4-18(25)24-19(12-7-8-16(27-2)17(10-12)28-3)14-11-15(22)13-6-5-9-23-20(13)21(14)26/h5-11,19,26H,4H2,1-3H3,(H,24,25)"
Standard Inchi Key(RDKit),ZMWXCFUGRBATKA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(=O)NC(c1ccc(OC)c(OC)c1)c1cc(Cl)c2cccnc2c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),400.862
MW Monoisotopic(RDKit),400.118984832
MolLogP(RDKit),4.2266
XLogP(SDF),
XLogP(CDK),3.558
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),80.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.646874960793341
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2093493.1577740747
qed,0.6468749607933413
Chi0,20.25878406613483
Chi1,13.493932260492077
