DLiP-ID,C001IN
DLiP-Mol-ID,32434
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H21NOS/c1-13(11-14-7-9-16(19-2)10-8-14)18-15-5-4-6-17(12-15)20-3/h4-10,12-13,18H,11H2,1-3H3"
Standard Inchi Key(RDKit),GWQHCBYXJOXBFX-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(CC(C)Nc2cccc(SC)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),287.428
MW Monoisotopic(RDKit),287.134385292
MolLogP(RDKit),4.4602
XLogP(SDF),
XLogP(CDK),4.653
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),21.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.792564995221312
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,38640.16658879157
qed,0.7925649952213122
Chi0,14.372032720186704
Chi1,9.707039898056804
TPSA,21.259999999999998
Chi0n,12.219755784820908
Chi0v,13.036252365748634
Chi1n,6.745306366325002
Chi1v,7.97005123771659
Chi2n,4.829539842827467
Chi2v,5.709192654082361
Chi3n,3.1837470855756815
Chi3v,3.909085500052426
Chi4n,2.163575172893773
Chi4v,2.62304343355418
MolMR,88.00570000000005
MolWt,287.428
fr_SH,0
Kappa1,14.791944718770356
Kappa2,7.246563253264823
Kappa3,4.203342636544273
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,538.9411970535813
MolLogP,4.460200000000004
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9485539721830731
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
