DLiP-ID,C000NF
DLiP-Mol-ID,31087
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H25NS/c1-5-11-19(12-6-1,20-13-7-2-8-14-20)18-15-16-9-3-4-10-17(16)21-18/h3-4,9-10,15H,1-2,5-8,11-14H2"
Standard Inchi Key(RDKit),RGSVXQJPSWZXOP-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc2sc(C3(N4CCCCC4)CCCCC3)cc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),299.483
MW Monoisotopic(RDKit),299.1707708
MolLogP(RDKit),5.54660000000001
XLogP(SDF),
XLogP(CDK),4.618
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),1
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),3.24
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.702769561198082
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,171870.03716466404
qed,0.7027695611980821
Chi0,14.12310957574327
Chi1,10.383776707420411
TPSA,3.24
Chi0n,12.81328104377743
Chi0v,13.629777624705156
Chi1n,8.626117939813316
Chi1v,9.442614520741042
Chi2n,6.788429552501717
Chi2v,7.872206508988543
Chi3n,5.526280128177785
Chi3v,6.835704915398798
Chi4n,4.388278719143601
Chi4v,5.725726362113162
MolMR,92.01200000000004
MolWt,299.48299999999995
fr_SH,0
Kappa1,13.778965852886007
Kappa2,5.734710394518746
Kappa3,2.4263385407020692
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,569.808808438583
MolLogP,5.546600000000005
NOCount,1
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.767008932050607
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,56.90549823579143
SMR_VSA6,13.08951281182515
SMR_VSA7,35.20898253600935
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.51596554315128
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,4.899909730850478
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,43.882387697088866
PEOE_VSA7,56.291757654917205
PEOE_VSA8,9.5770671101704
PEOE_VSA9,5.538925252383345
RingCount,4
SMR_VSA10,21.422930008868633
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,299.1707708
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,17.98942254267563
SlogP_VSA3,5.538925252383345
SlogP_VSA4,0.0
SlogP_VSA5,56.24372017710938
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
