DLiP-ID,I000XS
DLiP-Mol-ID,29121
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H34N6O3/c1-17(28-2)26(34)32-24(19-10-13-36-14-11-19)27(35)33-12-6-9-22(33)20-15-21-25(31-20)23(30-16-29-21)18-7-4-3-5-8-18/h3-5,7-8,15-17,19,22,24,28,31H,6,9-14H2,1-2H3,(H,32,34)/t17-,22-,24-/m0/s1"
Standard Inchi Key(RDKit),PPMXNSIFOOMHTN-OWSXEPHWSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cc2ncnc(-c3ccccc3)c2[nH]1)C1CCOCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),490.608
MW Monoisotopic(RDKit),490.269238948
MolLogP(RDKit),2.8077
XLogP(SDF),
XLogP(CDK),1.794
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),112.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.469600623663853
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,276567693.71708256
qed,0.46960062366385347
Chi0,25.07033885400645
Chi1,17.56288194571337
TPSA,112.24000000000002
Chi0n,20.86698608728318
Chi0v,20.86698608728318
Chi1n,12.814081406762948
Chi1v,12.814081406762948
Chi2n,9.709303774701311
Chi2v,9.709303774701311
Chi3n,7.507732832067273
Chi3v,7.507732832067273
Chi4n,5.326206464466552
Chi4v,5.326206464466552
MolMR,137.0080999999999
MolWt,490.60800000000023
fr_SH,0
Kappa1,24.396872053397086
Kappa2,10.757584911910532
Kappa3,4.852997532297867
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1206.6991838979654
MolLogP,2.8077000000000005
NOCount,9
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.4356658681793897
SMR_VSA1,14.325937321943693
SMR_VSA2,0.0
SMR_VSA3,30.485422501704765
SMR_VSA4,5.917906046161393
SMR_VSA5,50.73254617883855
SMR_VSA6,26.8061923176156
SMR_VSA7,48.41945048038266
SMR_VSA8,0.0
SMR_VSA9,11.257379486545457
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,210.577235116108
NHOHCount,3
PEOE_VSA1,25.2543284136104
PEOE_VSA2,9.589074368143644
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,51.638968788694854
PEOE_VSA8,31.01589982148387
PEOE_VSA9,28.811011088376908
RingCount,5
SMR_VSA10,22.847760893935536
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,490.269238948
NumHDonors,3
PEOE_VSA10,12.369160903912501
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,70.55607872830664
SlogP_VSA3,14.325937321943693
SlogP_VSA4,5.917906046161393
SlogP_VSA5,44.34279251539108
SlogP_VSA6,42.7255224855342
SlogP_VSA7,0.0
SlogP_VSA8,22.29078092177798
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
