DLiP-ID,J100HQ
DLiP-Mol-ID,37340
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H25N9S2.ClH/c1-15-14-17(31-20-23-25-26-28(20)12-11-27(2)3)29-18(21-15)22-19(24-29)30-13-7-10-16-8-5-4-6-9-16;/h4-6,8-9,14H,7,10-13H2,1-3H3;1H"
Standard Inchi Key(RDKit),PGVZTIPLQYFOOL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(Sc2nnnn2CC[NH+](C)C)n2nc(SCCCc3ccccc3)nc2n1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),492.078
MW Monoisotopic(RDKit),491.144111512
MolLogP(RDKit),-1.55618
XLogP(SDF),
XLogP(CDK),3.912
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.161803472883803
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,15993650.751919454
qed,0.16180347288380273
Chi0,21.63118126525103
Chi1,15.080520035918413
TPSA,91.12
Chi0n,18.271805339007113
Chi0v,20.66072744688102
Chi1n,10.224877168956386
Chi1v,12.026972309537602
Chi2n,7.523325172574027
Chi2v,9.572945932435427
Chi3n,4.590380906630298
Chi3v,6.48921487843203
Chi4n,2.9867727611230457
Chi4v,4.679605393917457
MolMR,120.62370000000001
MolWt,492.0780000000002
fr_SH,0
Kappa1,24.432773960643935
Kappa2,11.594949675476299
Kappa3,6.407981528239412
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,8
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1130.770429194191
MolLogP,-1.556179999999996
NOCount,9
fr_Ar_N,8
fr_COO2,0
fr_urea,0
BalabanJ,2.889995136166988e-06
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856704
SMR_VSA4,0.0
SMR_VSA5,41.648969793765886
SMR_VSA6,26.392953978013743
SMR_VSA7,47.655581897315116
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,1
LabuteASA,201.3532698824011
NHOHCount,1
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,9.499376414562832
PEOE_VSA5,10.197363616602075
PEOE_VSA6,42.093720291699164
PEOE_VSA7,53.5838541464021
PEOE_VSA8,11.44678160159525
PEOE_VSA9,27.18485677717953
RingCount,4
SMR_VSA10,29.301423622701424
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,491.14411151200005
NumHDonors,1
PEOE_VSA10,5.025959978669241
PEOE_VSA11,0.0
