DLiP-ID,I0008X
DLiP-Mol-ID,28044
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H28N4O2/c1-3-32(24-13-5-4-6-14-24)29(35)26-19-21(2)33(30-26)27-16-10-9-15-25(27)28(34)31-18-17-22-11-7-8-12-23(22)20-31/h4-16,19H,3,17-18,20H2,1-2H3"
Standard Inchi Key(RDKit),DNHJKFTYIWNMAF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(C(=O)c1cc(C)n(-c2ccccc2C(=O)N2CCc3ccccc3C2)n1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),464.569
MW Monoisotopic(RDKit),464.221226136
MolLogP(RDKit),5.04592000000001
XLogP(SDF),
XLogP(CDK),4.956
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),58.44
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.415518296777075
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCL2-Like_BAX
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,149556785.48732594
qed,0.41551829677707497
Chi0,24.363232072819905
Chi1,17.062881945713368
TPSA,58.440000000000005
