DLiP-ID,C003B8
DLiP-Mol-ID,33794
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H11Cl2N3O/c12-6-3-8-9(4-7(6)13)16-2-1-14-5-10(16)11(17)15-8/h3-4,10,14H,1-2,5H2,(H,15,17)/t10-/m1/s1"
Standard Inchi Key(RDKit),PHGWDAICBXUJDU-SNVBAGLBSA-N
Canonical SMILES(RDKit),O=C1Nc2cc(Cl)c(Cl)cc2N2CCNC[C@H]12
SMILES(SDF),
MW(SDF),
MW(RDKit),272.135
MW Monoisotopic(RDKit),271.027917332
MolLogP(RDKit),1.7237
XLogP(SDF),
XLogP(CDK),1.818
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),44.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.755539458571015
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,10319.530085691527
qed,0.7555394585710151
Chi0,11.991199352633217
Chi1,8.164703797946448
TPSA,44.370000000000005
Chi0n,8.964761983110797
Chi0v,10.476619875147707
Chi1n,5.4388528163796135
Chi1v,6.194781762398067
Chi2n,4.186032944321685
Chi2v,5.000433197802898
Chi3n,3.151953428486236
Chi3v,3.8741034946725064
Chi4n,2.3170160611356527
Chi4v,2.638583427578069
MolMR,69.09540000000003
MolWt,272.13500000000005
fr_SH,0
Kappa1,11.13935462526405
Kappa2,4.049321237593943
Kappa3,1.7643923300100282
