DLiP-ID,T001GT
DLiP-Mol-ID,17161
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N4O5/c1-28-18(27)15-10-14(7-5-11(15)6-8-16(24)25)22-17(26)12-3-2-4-13(9-12)23-19(20)21/h2-10H,1H3,(H,22,26)(H,24,25)(H4,20,21,23)/b8-6+"
Standard Inchi Key(RDKit),FFHTVWUGYZATJR-SOFGYWHQSA-N
Canonical SMILES(RDKit),COC(=O)c1cc(NC(=O)c2cccc(NC(=N)N)c2)ccc1/C=C/C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),382.376
MW Monoisotopic(RDKit),382.127719676
MolLogP(RDKit),2.12867
XLogP(SDF),
XLogP(CDK),2.177
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),154.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.221757075367777
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1224301.2797749827
qed,0.22175707536777714
Chi0,20.681433796945203
Chi1,13.29493275328225
TPSA,154.6
Chi0n,14.853709449251673
Chi0v,14.853709449251673
Chi1n,7.957111483017845
Chi1v,7.957111483017845
Chi2n,5.538786135578229
Chi2v,5.538786135578229
Chi3n,3.5257060413991437
Chi3v,3.5257060413991437
Chi4n,2.32412713013597
Chi4v,2.32412713013597
MolMR,104.38330000000003
MolWt,382.37600000000015
fr_SH,0
Kappa1,20.17532980507414
Kappa2,8.989215164074048
Kappa3,5.428505945123657
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,968.5463883607288
MolLogP,2.12867
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.2796294673262136
SMR_VSA1,24.227001900856216
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
SMR_VSA6,17.743374749290194
SMR_VSA7,65.23094406115614
