DLiP-ID,I001GK
DLiP-Mol-ID,29918
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H36N4O4/c1-18(29-2)26(34)30-23-15-14-22(33)17-21-13-16-24(32(21)28(23)36)27(35)31-25(19-9-5-3-6-10-19)20-11-7-4-8-12-20/h3-12,18,21-25,29,33H,13-17H2,1-2H3,(H,30,34)(H,31,35)/t18-,21+,22+,23-,24-/m0/s1"
Standard Inchi Key(RDKit),YSWSPOWPCMUWGP-IZFXNUPESA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H]1CC[C@@H](O)C[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),492.62
MW Monoisotopic(RDKit),492.273655632
MolLogP(RDKit),1.8893
XLogP(SDF),
XLogP(CDK),2.663
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),110.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.471885954620475
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,145432547.3887378
qed,0.47188595462047456
Chi0,25.65612529163336
Chi1,17.384249150759292
TPSA,110.77000000000001
Chi0n,20.892310275358263
Chi0v,20.892310275358263
Chi1n,12.768184196464489
Chi1v,12.768184196464489
Chi2n,9.793860754079528
Chi2v,9.793860754079528
Chi3n,7.385638412510442
Chi3v,7.385638412510442
Chi4n,5.249933271766661
Chi4v,5.249933271766661
MolMR,136.8358999999999
MolWt,492.6200000000001
fr_SH,0
Kappa1,25.85074065905329
Kappa2,11.669651337493988
Kappa3,5.766165679796743
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1008.5299056694851
