DLiP-ID,C0025G
DLiP-Mol-ID,28587
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H24N2O4/c1-13(2)26-17-8-4-6-15(10-17)18(23)16-7-5-9-22(11-16)20(24)19-14(3)21-12-25-19/h4,6,8,10,12-13,16H,5,7,9,11H2,1-3H3"
Standard Inchi Key(RDKit),JLNCESDAKWBJTL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ncoc1C(=O)N1CCCC(C(=O)c2cccc(OC(C)C)c2)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),356.422
MW Monoisotopic(RDKit),356.173607248
MolLogP(RDKit),3.50532
XLogP(SDF),
XLogP(CDK),2.655
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.766758053455213
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,909250.6276637624
qed,0.7667580534552132
Chi0,18.681433796945207
Chi1,12.452397498181154
TPSA,72.64
Chi0n,15.397299361928942
Chi0v,15.397299361928942
Chi1n,8.957008577947262
Chi1v,8.957008577947262
Chi2n,6.915902643248106
Chi2v,6.915902643248106
Chi3n,4.509492788945325
Chi3v,4.509492788945325
Chi4n,3.256944739325751
Chi4v,3.256944739325751
MolMR,96.40400000000005
MolWt,356.4220000000001
fr_SH,0
Kappa1,18.16978323181906
Kappa2,7.723042527428475
Kappa3,3.951662181874918
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,796.6137987864337
MolLogP,3.505320000000002
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7200548254315648
SMR_VSA1,18.74308825899704
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,5.917906046161393
SMR_VSA5,39.71682123267219
SMR_VSA6,13.08951281182515
SMR_VSA7,47.67673467805686
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,152.70742977521562
NHOHCount,0
PEOE_VSA1,14.053923621703873
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,45.74558898184711
PEOE_VSA8,24.57087034968354
PEOE_VSA9,11.797894382596763
RingCount,3
SMR_VSA10,11.690424675716445
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,356.173607248
NumHDonors,0
PEOE_VSA10,5.749511833283905
PEOE_VSA11,12.176884445155462
PEOE_VSA12,5.760247418874442
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,4.736862953800049
SlogP_VSA2,40.76779212708758
SlogP_VSA3,0.0
SlogP_VSA4,12.841643245852017
SlogP_VSA5,53.29581891879681
SlogP_VSA6,35.07625870969031
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
