DLiP-ID,T001FS
DLiP-Mol-ID,17122
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H13N5S/c1-15-7-4-2-3-6(5-7)13-9(12)14-8(10)11/h2-5H,1H3,(H6,10,11,12,13,14)"
Standard Inchi Key(RDKit),FCGNLCQMAKNXIW-UHFFFAOYSA-N
Canonical SMILES(RDKit),CSc1cccc(NC(=N)NC(=N)N)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),223.305
MW Monoisotopic(RDKit),223.089166416
MolLogP(RDKit),1.23824
XLogP(SDF),
XLogP(CDK),2.303
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),97.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.295817002019974
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2009.0079179463191
qed,0.2958170020199738
Chi0,11.259148545064338
Chi1,7.113392202930193
TPSA,97.78
Chi0n,8.294999636411992
Chi0v,9.111496217339718
Chi1n,4.222414775336526
Chi1v,5.447159646728116
Chi2n,2.7706309985110225
Chi2v,3.6502838097659165
Chi3n,1.5987445212929359
Chi3v,2.32408293576968
Chi4n,1.0110819297074538
Chi4v,1.470550190367861
MolMR,64.6222
MolWt,223.305
fr_SH,0
Kappa1,11.385131480090157
Kappa2,5.255198525811811
Kappa3,3.9030012906551153
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
