DLiP-ID,I000TK
DLiP-Mol-ID,28937
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H25N3O2S/c30-23-8-6-20-21(9-11-27-26(20)23)28-18-5-7-22-24(15-18)31-14-13-29(22)12-10-17-16-32-25-4-2-1-3-19(17)25/h1-5,7,9,11,15-16,23,30H,6,8,10,12-14H2,(H,27,28)/t23-/m0/s1"
Standard Inchi Key(RDKit),NJSQJPLMIGQVOH-QHCPKHFHSA-N
Canonical SMILES(RDKit),O[C@H]1CCc2c(Nc3ccc4c(c3)OCCN4CCc3csc4ccccc34)ccnc21
SMILES(SDF),
MW(SDF),
MW(RDKit),443.572
MW Monoisotopic(RDKit),443.16674804
MolLogP(RDKit),5.46100000000001
XLogP(SDF),
XLogP(CDK),4.199
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),57.62
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.428890164585553
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,55912407.2738268
qed,0.42889016458555274
Chi0,21.492988584816832
Chi1,15.759152830872498
TPSA,57.62
Chi0n,17.75163101563277
Chi0v,18.568127596560497
Chi1n,11.158790542152541
Chi1v,12.03844335340744
Chi2n,8.426892997375633
Chi2v,9.33812392379411
Chi3n,6.483036140341207
Chi3v,7.495334927390779
Chi4n,4.817910928888534
Chi4v,5.815192368802309
MolMR,130.4795
MolWt,443.5720000000001
fr_SH,0
Kappa1,19.584486326104248
Kappa2,8.11357195948098
Kappa3,3.493573995376296
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1285.3035448371309
MolLogP,5.461000000000005
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.2051310526914514
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,25.36643125652633
SMR_VSA6,29.91309311119488
SMR_VSA7,76.92867386801433
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,190.84767464395026
NHOHCount,2
