DLiP-ID,I000YB
DLiP-Mol-ID,29147
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H25FN4O2/c27-20-13-17(30-22-7-9-28-25-19(22)5-6-23(25)32)14-24-26(20)31(11-12-33-24)10-8-16-15-29-21-4-2-1-3-18(16)21/h1-4,7,9,13-15,23,29,32H,5-6,8,10-12H2,(H,28,30)/t23-/m0/s1"
Standard Inchi Key(RDKit),PWTOQBIEJHSEPN-QHCPKHFHSA-N
Canonical SMILES(RDKit),O[C@H]1CCc2c(Nc3cc(F)c4c(c3)OCCN4CCc3c[nH]c4ccccc34)ccnc21
SMILES(SDF),
MW(SDF),
MW(RDKit),444.51
MW Monoisotopic(RDKit),444.19615426
MolLogP(RDKit),4.8667
XLogP(SDF),
XLogP(CDK),3.738
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.409761916744394
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,79824516.99501063
qed,0.4097619167443941
Chi0,22.36323207281991
Chi1,16.169836433395457
TPSA,73.41
Chi0n,18.14399692898851
Chi0v,18.14399692898851
Chi1n,11.363288174291188
Chi1v,11.363288174291188
Chi2n,8.651598487394399
Chi2v,8.651598487394399
Chi3n,6.640957746414581
Chi3v,6.640957746414581
Chi4n,5.006860737896125
Chi4v,5.006860737896125
MolMR,126.91120000000002
MolWt,444.51000000000016
fr_SH,0
Kappa1,20.057143587383656
Kappa2,8.081553082651077
Kappa3,3.581874529687291
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1335.3736716863903
MolLogP,4.866700000000004
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2433580051890707
SMR_VSA1,14.233805396315574
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,25.36643125652633
SMR_VSA6,29.91309311119488
SMR_VSA7,77.49630844174577
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,190.58200719747933
NHOHCount,3
PEOE_VSA1,25.044067204444772
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.39041504767482
