DLiP-ID,T002DR
DLiP-Mol-ID,18575
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18N4O5/c1-25-14-8-12(5-6-13(14)26-9-15(22)23)20-16(24)10-3-2-4-11(7-10)21-17(18)19/h2-8H,9H2,1H3,(H,20,24)(H,22,23)(H4,18,19,21)"
Standard Inchi Key(RDKit),HYVACKHLRSIRHV-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(NC(=O)c2cccc(NC(=N)N)c2)ccc1OCC(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),358.354
MW Monoisotopic(RDKit),358.127719676
MolLogP(RDKit),1.71627
XLogP(SDF),
XLogP(CDK),1.298
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),146.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.37380547332493
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,496641.226457578
qed,0.37380547332493025
Chi0,19.10408352775558
Chi1,12.384249150759292
TPSA,146.76
Chi0n,13.906115692058968
Chi0v,13.906115692058968
Chi1n,7.4386564056829725
Chi1v,7.4386564056829725
Chi2n,5.1216559378748965
Chi2v,5.1216559378748965
Chi3n,3.1764081456535793
Chi3v,3.1764081456535793
Chi4n,2.1010306034115365
Chi4v,2.1010306034115365
MolMR,96.05680000000004
MolWt,358.35400000000016
fr_SH,0
Kappa1,18.586686322118165
Kappa2,8.378177393185506
Kappa3,5.1288927335640135
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,837.6529892015382
MolLogP,1.71627
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1322740339985735
SMR_VSA1,24.169327670584444
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
SMR_VSA6,24.350256713803113
SMR_VSA7,48.02802097092827
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,148.78254237233494
NHOHCount,6
PEOE_VSA1,30.947497987615648
PEOE_VSA2,10.203820789863343
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,30.33183534230805
PEOE_VSA8,23.00459110952573
PEOE_VSA9,7.109797541277533
RingCount,2
SMR_VSA10,29.210812135414315
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,358.1277196759999
NumHDonors,5
PEOE_VSA10,0.0
PEOE_VSA11,24.065460199824564
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,25.840970592774944
SlogP_VSA2,36.65924648667835
SlogP_VSA3,4.794537184071822
SlogP_VSA4,5.409283605791522
SlogP_VSA5,10.357988675768818
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,1
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.576187252464766
EState_VSA2,23.36575796466315
EState_VSA3,16.93822404106412
EState_VSA4,0.0
EState_VSA5,19.242531678200752
