DLiP-ID,C003BH
DLiP-Mol-ID,33803
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H14ClNO/c13-10-6-2-1-5-9(10)12(14)8-4-3-7-11(12)15/h1-2,5-6H,3-4,7-8,14H2"
Standard Inchi Key(RDKit),BEQZHFIKTBVCAU-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC1(c2ccccc2Cl)CCCCC1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),223.703
MW Monoisotopic(RDKit),223.076391748
MolLogP(RDKit),2.6371
XLogP(SDF),
XLogP(CDK),2.492
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),43.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.795573811061899
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,2938.2125827501523
qed,0.7955738110618992
Chi0,10.88890505706126
Chi1,7.143682402887074
TPSA,43.09
Chi0n,8.50139123416741
Chi0v,9.257320180185864
