DLiP-ID,T002AY
DLiP-Mol-ID,18451
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H26FN3O3/c23-17-7-3-5-16(13-17)19(14-21(28)29)26-20(27)9-2-1-8-18-11-10-15-6-4-12-24-22(15)25-18/h3,5,7,10-11,13,19H,1-2,4,6,8-9,12,14H2,(H,24,25)(H,26,27)(H,28,29)/t19-/m0/s1"
Standard Inchi Key(RDKit),HTVBJLAHDXBYNO-IBGZPJMESA-N
Canonical SMILES(RDKit),O=C(O)C[C@H](NC(=O)CCCCc1ccc2c(n1)NCCC2)c1cccc(F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),399.466
MW Monoisotopic(RDKit),399.195819912
MolLogP(RDKit),3.6238
XLogP(SDF),
XLogP(CDK),3.053
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),91.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.5603648098834
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3311250.989473712
qed,0.5603648098834003
Chi0,20.639617433688315
Chi1,14.008040390846979
TPSA,91.32000000000001
Chi0n,16.287194378756634
Chi0v,16.287194378756634
Chi1n,10.00346724040715
Chi1v,10.00346724040715
Chi2n,7.32072427396191
Chi2v,7.32072427396191
Chi3n,5.003576829034076
Chi3v,5.003576829034076
Chi4n,3.516405512224906
Chi4v,3.516405512224906
MolMR,108.13920000000005
MolWt,399.4660000000001
fr_SH,0
Kappa1,20.766036373552357
Kappa2,10.000511985280868
Kappa3,6.270882223065957
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,872.1310356006567
MolLogP,3.623800000000002
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.46995104231053
SMR_VSA1,19.086016810659167
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,50.987592189630035
SMR_VSA6,11.861545009918906
SMR_VSA7,59.036254230058006
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,169.09921513376682
NHOHCount,3
PEOE_VSA1,15.740104602853368
PEOE_VSA2,9.589074368143644
PEOE_VSA3,9.374393568622029
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,61.43011230340886
PEOE_VSA8,18.659506023687047
PEOE_VSA9,12.462662452073971
RingCount,3
SMR_VSA10,17.694347795138384
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,399.195819912
NumHDonors,3
PEOE_VSA10,11.635083618880923
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012662
SlogP_VSA2,28.511747339003843
SlogP_VSA3,22.430717613995665
SlogP_VSA4,5.817220841045895
SlogP_VSA5,54.966779922020464
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.828366958145704
EState_VSA2,18.748822975203524
EState_VSA3,11.984273114623004
EState_VSA4,43.7398336703001
EState_VSA5,23.762552697081826
EState_VSA6,6.06636706846161
EState_VSA7,6.06636706846161
EState_VSA8,21.68392279742148
EState_VSA9,5.106527394840706
SlogP_VSA10,10.208277825509848
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
