DLiP-ID,T006MF
DLiP-Mol-ID,24246
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H20Cl2N4O5/c1-30-20-25-19(26-21(27-20)31-2)24-17(18(28)29)10-12-6-8-13(9-7-12)32-11-14-15(22)4-3-5-16(14)23/h3-9,17H,10-11H2,1-2H3,(H,28,29)(H,24,25,26,27)/t17-/m0/s1"
Standard Inchi Key(RDKit),VHILBYGHIRHZFV-KRWDZBQOSA-N
Canonical SMILES(RDKit),COc1nc(N[C@@H](Cc2ccc(OCc3c(Cl)cccc3Cl)cc2)C(=O)O)nc(OC)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),479.32
MW Monoisotopic(RDKit),478.0810751
MolLogP(RDKit),3.8824
XLogP(SDF),
XLogP(CDK),2.615
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),115.69
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.446975779319084
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,12870645.262234855
qed,0.4469757793190843
Chi0,23.087211190881018
Chi1,15.388580448408863
TPSA,115.69
Chi0n,17.21079220576384
Chi0v,18.722650097800752
Chi1n,9.372969835451592
Chi1v,10.128898781470046
Chi2n,6.504536655234487
Chi2v,7.318936908715699
Chi3n,4.368991630359188
Chi3v,5.077211424115711
Chi4n,2.724242074578574
Chi4v,3.230795701162371
MolMR,118.91750000000005
MolWt,479.32000000000016
fr_SH,0
Kappa1,23.364940742076836
Kappa2,10.830450997921337
Kappa3,6.115457278695004
fr_ArN,0
fr_COO,1
fr_C_O,1
