DLiP-ID,J100AD
DLiP-Mol-ID,37075
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H9N3O3/c16-9-10-3-5-11(6-4-10)17-15(19)12-8-14(21-18-12)13-2-1-7-20-13/h1-8H,(H,17,19)"
Standard Inchi Key(RDKit),HWVYFQBNUHODGR-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1ccc(NC(=O)c2cc(-c3ccco3)on2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),279.255
MW Monoisotopic(RDKit),279.064391148
MolLogP(RDKit),3.05858
XLogP(SDF),
XLogP(CDK),2.009
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),92.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.794956686921781
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,125537.94647296949
qed,0.7949566869217812
Chi0,14.656489770562878
Chi1,10.25835149307306
TPSA,92.06
Chi0n,10.737974215908514
Chi0v,10.737974215908514
Chi1n,6.081921752923348
Chi1v,6.081921752923348
Chi2n,4.196982167779502
Chi2v,4.196982167779502
Chi3n,2.7786872109895535
Chi3v,2.7786872109895535
Chi4n,1.740333980912041
Chi4v,1.740333980912041
MolMR,73.3152
MolWt,279.255
fr_SH,0
Kappa1,12.691093079016794
Kappa2,5.346323999786321
Kappa3,2.6679274016465824
