DLiP-ID,C003CJ
DLiP-Mol-ID,33841
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H7ClN2O2S/c1-5-10-7-3-2-6(9)4-8(7)14(12,13)11-5/h2-4H,1H3,(H,10,11)"
Standard Inchi Key(RDKit),GDLBFKVLRPITMI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
SMILES(SDF),
MW(SDF),
MW(RDKit),230.676
MW Monoisotopic(RDKit),229.991676144
MolLogP(RDKit),1.8726
XLogP(SDF),
XLogP(CDK),1.938
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),58.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.740375775486423
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,1297.4109040722706
qed,0.7403757754864233
Chi0,10.344934982691242
Chi1,6.488000430147713
TPSA,58.53
Chi0n,7.281973747469652
Chi0v,8.854399274415833
Chi1n,3.870654570367498
Chi1v,5.688682372177366
Chi2n,2.917244991609995
Chi2v,4.926214043200799
Chi3n,1.7942468172263752
Chi3v,3.437140927848709
Chi4n,1.2600198159066562
Chi4v,2.6742217109456012
MolMR,55.369500000000016
MolWt,230.67600000000002
fr_SH,0
Kappa1,9.483686286009064
Kappa2,2.963490260121695
Kappa3,1.486092875465252
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,522.1428588468092
MolLogP,1.8726
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.727809302124729
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,4.397710993081425
SMR_VSA5,11.819220675208399
SMR_VSA6,5.316788604006331
SMR_VSA7,23.221734519126155
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,86.66468298352589
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,8.417796984328938
PEOE_VSA5,4.397710993081425
PEOE_VSA6,11.600939890232516
PEOE_VSA7,25.122838405075452
PEOE_VSA8,5.022633313741326
PEOE_VSA9,5.687386274683562
RingCount,2
SMR_VSA10,33.14723710408093
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,229.991676144
NumHDonors,1
PEOE_VSA10,10.731103261275045
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,14.253416770086208
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,6.923737199690624
SlogP_VSA6,27.492295673984028
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,1
fr_aniline,1
fr_benzene,1
fr_epoxide,0
