DLiP-ID,T003A0
DLiP-Mol-ID,19964
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H32N2O3/c1-2-16(15-19(23)24)5-3-13-22-14-4-6-18(20(22)25)8-7-17-9-11-21-12-10-17/h1,16-18,21H,3-15H2,(H,23,24)/t16?,18-/m0/s1"
Standard Inchi Key(RDKit),KQRSYIYBILSZCZ-DAFXYXGESA-N
Canonical SMILES(RDKit),C#CC(CCCN1CCC[C@@H](CCC2CCNCC2)C1=O)CC(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),348.487
MW Monoisotopic(RDKit),348.241292884
MolLogP(RDKit),2.5091
XLogP(SDF),
XLogP(CDK),1.889
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),69.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.628304428159069
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,403669.902138597
qed,0.6283044281590692
Chi0,18.070703332935974
Chi1,12.096555450524589
TPSA,69.64
Chi0n,15.212713004111267
Chi0v,15.212713004111267
Chi1n,9.772341026808796
Chi1v,9.772341026808796
Chi2n,7.538845025034808
Chi2v,7.538845025034808
Chi3n,5.660972630851981
Chi3v,5.660972630851981
Chi4n,4.1011494484261
Chi4v,4.1011494484261
MolMR,97.94150000000006
MolWt,348.48700000000014
fr_SH,0
Kappa1,19.780378892165626
Kappa2,10.45085327779774
Kappa3,6.700164486539691
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,479.8231627802126
MolLogP,2.5091
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7085836275477817
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,17.75371813848418
SMR_VSA5,57.787394606334104
SMR_VSA6,26.1790256236503
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,12.343784214475903
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,151.0876880922609
NHOHCount,2
PEOE_VSA1,15.323225729697514
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,12.343784214475903
PEOE_VSA6,0.0
PEOE_VSA7,70.37399184139463
PEOE_VSA8,24.925324904147935
PEOE_VSA9,6.4208216229260096
RingCount,2
SMR_VSA10,11.876485017303356
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,348.2412928839999
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,48.06194776664484
SlogP_VSA3,9.589074368143644
SlogP_VSA4,30.097502352960078
SlogP_VSA5,57.787394606334104
SlogP_VSA6,0.0
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,18.256633715248796
EState_VSA3,18.87275775819009
EState_VSA4,51.235461755603154
EState_VSA5,19.26246486877803
EState_VSA6,0.0
EState_VSA7,4.899909730850478
EState_VSA8,11.237222922861974
EState_VSA9,11.529877290460965
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
