DLiP-ID,C004UD
DLiP-Mol-ID,34006
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H6N2OS/c12-8-10-9-7(11-8)6-4-2-1-3-5-6/h1-5H,(H,10,12)"
Standard Inchi Key(RDKit),FOHWXVBZGSVUGO-UHFFFAOYSA-N
Canonical SMILES(RDKit),S=c1[nH]nc(-c2ccccc2)o1
SMILES(SDF),
MW(SDF),
MW(RDKit),178.216
MW Monoisotopic(RDKit),178.020083812
MolLogP(RDKit),2.39919
XLogP(SDF),
XLogP(CDK),2.765
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),41.82
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),12
QED Weighted(RDKit),0.681581576998422
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2
Common Target Pref Name,Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2
RDKit Descriptors
Ipc,1054.8083975733878
qed,0.6815815769984225
Chi0,8.38890505706126
Chi1,5.860173345306138
TPSA,41.82
Chi0n,6.150461522375815
Chi0v,6.966958103303541
Chi1n,3.470269633718712
Chi1v,3.8785179241825753
Chi2n,2.284304317124132
Chi2v,2.6550951290227305
Chi3n,1.4588459674126557
Chi3v,1.6334663936635168
Chi4n,0.9340693614771753
Chi4v,1.0586473742276026
