DLiP-ID,C000VQ
DLiP-Mol-ID,31443
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H13N3O2S2/c1-2-19-9-5-6-10-11(8-9)21-14(15-10)17-13(18)16-12-4-3-7-20-12/h3-8H,2H2,1H3,(H2,15,16,17,18)"
Standard Inchi Key(RDKit),JBLGCZDPPLPWSW-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc2nc(NC(=O)Nc3cccs3)sc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),319.411
MW Monoisotopic(RDKit),319.044918656
MolLogP(RDKit),4.4005
XLogP(SDF),
XLogP(CDK),2.158
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),63.25
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.748893219210693
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,106830.76675227309
qed,0.7488932192106925
Chi0,14.656489770562878
Chi1,10.241514740667453
TPSA,63.25
Chi0n,11.251415153679714
Chi0v,12.884408315535167
Chi1n,6.3926941708105565
Chi1v,8.088843562993178
Chi2n,4.137987312067003
Chi2v,6.116330386992241
Chi3n,2.6492763299204114
Chi3v,4.368173550655429
Chi4n,1.8048080127069357
Chi4v,3.3066685076240736
MolMR,87.74940000000002
MolWt,319.41100000000006
fr_SH,0
Kappa1,13.84446029858634
Kappa2,6.10826712502206
Kappa3,3.3150240682097287
fr_ArN,0
